xi_0,xi_1,ui_0,xf_0,xf_1,uf_0
-0.982185949,-3.653765412,-9.720228965,0.513344664,0.550537331,3.488602393
0.513344664,0.550537331,3.488602393,26,64,12.81777573
26,64,12.81777573,-3.104818083,-4.008467677,9.291156861
-3.104818083,-4.008467677,9.291156861,3.764245667,-0.823813422,3.121887849
3.764245667,-0.823813422,3.121887849,1.425436178,-0.273472976,1.305768546
1.425436178,-0.273472976,1.305768546,1.849215634,-0.097291629,1.615604966
1.849215634,-0.097291629,1.615604966,-1.808564839,-0.049995092,-2.155972449
-1.808564839,-0.049995092,-2.155972449,-46,50,-22.17075214
-46,50,-22.17075214,6.582707915,-12.37832916,7.633308718
6.582707915,-12.37832916,7.633308718,-0.685050168,-0.605853777,3.226561096
-0.685050168,-0.605853777,3.226561096,1.673573405,-0.086460336,-0.332933886
1.673573405,-0.086460336,-0.332933886,-4.715526926,1.952520146,5.257178792
-4.715526926,1.952520146,5.257178792,-2.606350153,-0.795601843,-2.256819398
-2.606350153,-0.795601843,-2.256819398,-96,13,-35.89806619
-96,13,-35.89806619,72.37637162,-116.4679531,-9.651635116
72.37637162,-116.4679531,-9.651635116,7.696560571,-28.35910646,-0.820894623
7.696560571,-28.35910646,-0.820894623,-60.08704186,-492.8837165,-17.31540867
-60.08704186,-492.8837165,-17.31540867,155.2881471,-537.8518858,11.8537503
155.2881471,-537.8518858,11.8537503,-316.1669512,-29.44226613,-3.051461311
-316.1669512,-29.44226613,-3.051461311,41,6,17.70090473
41,6,17.70090473,-8.709041968,-1.371894737,0.40184461
-8.709041968,-1.371894737,0.40184461,1.841993028,0.07142844,-0.084971163
1.841993028,0.07142844,-0.084971163,-0.388836738,-0.017586349,0.002054137
-0.388836738,-0.017586349,0.002054137,0.081721301,-0.011461752,-0.002836102
0.081721301,-0.011461752,-0.002836102,-0.017628278,-0.003244378,-0.002075106
-0.017628278,-0.003244378,-0.002075106,58,20,28.27171959
58,20,28.27171959,-13.72086105,-1.662201829,-0.024000368
-13.72086105,-1.662201829,-0.024000368,1.690470669,-0.101326798,1.474179868
1.690470669,-0.101326798,1.474179868,-0.104214802,-0.0379408,0.016405931
-0.104214802,-0.0379408,0.016405931,0.055911777,-0.017944359,0.026526527
0.055911777,-0.017944359,0.026526527,-0.500436152,-0.01759859,-3.410761475
-0.500436152,-0.01759859,-3.410761475,-10,48,-4.933643441
-10,48,-4.933643441,-0.52282452,-8.799961781,19.97445526
-0.52282452,-8.799961781,19.97445526,0.277513677,-1.312760437,5.440840109
0.277513677,-1.312760437,5.440840109,-0.928959602,-1.60831858,-14.09746484
-0.928959602,-1.60831858,-14.09746484,0.614126722,-1.082855487,-16.23460872
0.614126722,-1.082855487,-16.23460872,1.70093941,-0.660373392,-14.43433534
1.70093941,-0.660373392,-14.43433534,82,40,38.23490444
82,40,38.23490444,-18.94235616,-8.000797865,8.155072312
