,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
2345,2345.0,2345.0,2345.0,5.0,0.5,210.5662,223.5244,235.0173,244.9452,253.2883,260.0975,265.474,269.5459,272.4469,274.3031,275.2286,275.3289,274.7086,273.4785,271.7575,269.6663,267.3145,264.7818,262.1029,259.2593,396.4439252438304,395.7058560827208,1944.8598,452.53469999999993,1161.0057,-52.902499999999975
2346,2346.0,2346.0,2346.0,6.0,0.6,367.7985,343.5051,323.3065,307.0638,294.5784,285.5149,279.4065,275.7177,273.9304,273.6268,274.5501,276.6343,280.0027,284.9377,291.8275,301.1008,313.1632,328.3565,346.9612,369.2646,293.5856544338085,472.9743386206685,2397.3945,180.59770000000023,708.471,-27.48509999999999
2347,2347.0,2347.0,2347.0,7.0,0.7,292.8576,292.3002,291.6618,290.8009,289.7046,288.483,287.3441,286.5616,286.4442,287.3143,289.4991,293.3315,299.1557,307.3337,318.2505,332.3214,350.013,371.8951,398.75,431.7789,382.2755065145788,253.1328130026088,2577.9922,86.03919999999971,527.8732999999997,-24.517
2348,2348.0,2348.0,2348.0,8.0,0.8,361.3938,343.9865,329.6646,318.1681,309.2749,302.7517,298.3366,295.7398,294.6469,294.7191,295.584,296.8224,297.9596,298.4715,297.8147,295.4836,291.0874,284.4345,275.6005,264.9557,365.73801998367,222.53969495180027,2664.0314,194.98460000000023,441.8341,-10.248299999999972
2349,2349.0,2349.0,2349.0,9.0,0.9,351.1691,339.1514,329.1929,320.9298,314.0865,308.4431,303.8093,300.0027,296.8312,294.0819,291.5152,288.8657,285.8493,282.1766,277.5716,271.7964,264.6764,256.124,246.1547,234.8892,207.7414126210537,447.0512123074009,2859.016,246.8494999999998,246.8494999999998,-4.556899999999985
2350,2350.0,2350.0,2350.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,249.4149693812364,336.55415539540166,0.0,430.6366,3091.7219,15.93610000000001
2351,2351.0,2351.0,2351.0,1.0,0.1,254.052,258.1778,261.7388,264.7116,267.1108,268.9888,270.4306,271.5476,272.4714,273.3518,274.358,275.6807,277.5336,280.1491,283.767,288.6164,294.8944,302.7487,312.2727,323.5222,425.6696145859196,209.4830071702021,430.6366,370.4512,2661.0853,15.93610000000001
2352,2352.0,2352.0,2352.0,2.0,0.2,392.0464,364.0617,340.9383,322.2244,307.551,296.5055,288.5909,283.2397,279.8519,277.8311,276.6057,275.6332,274.3942,272.3881,269.1413,264.2342,257.3451,248.3021,237.1261,224.0476,227.5947480930305,458.4596181482138,801.0878,339.09030000000007,2290.6341,15.93610000000001
2353,2353.0,2353.0,2353.0,3.0,0.3,241.5207,253.9702,264.376,272.4182,278.0535,281.4897,283.1246,283.4741,283.1127,282.6382,282.6647,283.8326,286.8226,292.355,301.1642,313.9519,331.3383,353.8493,381.9873,416.4362,444.8142995380558,262.9837493719956,1140.1781,175.74749999999997,1951.5438,15.93610000000001
2354,2354.0,2354.0,2354.0,4.0,0.4,407.5384,376.9813,352.0557,332.132,316.7302,305.363,297.4841,292.5008,289.8127,288.8454,289.0643,289.968,291.0717,291.8954,291.9707,290.8735,288.2787,284.0241,278.1632,270.9849,310.32541680798505,373.1125056699275,1315.9256,177.5094999999999,1775.7963,15.93610000000001
2355,2355.0,2355.0,2355.0,5.0,0.5,308.8445,307.8204,306.8303,305.5911,303.9779,302.0115,299.8239,297.6136,295.6067,294.0298,293.1025,293.0431,294.0814,296.4692,300.4795,306.3939,314.4814,324.98,338.0975,354.0446,341.4811778314468,186.2626118361986,1493.4351,165.34000000000017,1598.2868,15.93610000000001
