,t,x1,x2,u
8,0.2,-8.745028437,-2.465128783,-18.31741469
12,0.3,-8.958098146,-1.807228573,4.448305014
16,0.4,-9.209086978,-3.189513819,-16.33274078
20,0.5,-9.597559982,-4.557156026,-17.56115211
24,0.6,-10.07943919,-5.071851269,-9.965744486
28,0.7,-10.56694923,-4.684799341,-1.004581139
32,0.8,-10.98319194,-3.657179089,6.113775381
36,0.9,-11.31703057,-3.030043935,2.93296529
40,1,-11.62877012,-3.201883616,-4.83579235
0,0,-0.387018593,-0.8445625,0
4,0.1,-0.410746375,0.350099153,11.70933871
8,0.2,-0.40235556,-0.173556696,-5.15265033
12,0.3,-0.467678494,-1.117177594,-10.08943832
16,0.4,-0.581733335,-1.163153101,-1.600303486
20,0.5,-0.762482997,-2.430717579,-14.4831414
24,0.6,-1.089685999,-4.085762979,-19.82248402
28,0.7,-1.464072534,-3.413175643,2.982008011
32,0.8,-1.771174257,-2.740075288,3.659986322
36,0.9,-2.051408772,-2.8625737,-4.027329264
40,1,-2.23369357,-0.817206047,18.63082854
0,0,5.821259993,-12.15272953,0
4,0.1,4.661043767,-11.06964341,-0.771301059
8,0.2,3.639593742,-9.387389965,6.608034236
12,0.3,2.712031679,-9.16751527,-7.076873686
16,0.4,1.922066942,-6.673342094,17.0420844
20,0.5,1.351415164,-4.771387417,13.313029
24,0.6,0.949132313,-3.298808506,10.70296059
28,0.7,0.584258051,-3.987205354,-10.5327111
32,0.8,0.298844846,-1.758202611,19.43589538
36,0.9,0.107563252,-2.062360801,-4.954397839
40,1,-0.09445321,-1.979351712,-1.190073742
0,0,-7.124165657,-13.4340964,0
4,0.1,-8.424282939,-12.58244114,-4.484620282
8,0.2,-9.634790154,-11.64335204,-2.714181126
12,0.3,-10.7484248,-10.64596124,-1.162438407
16,0.4,-11.72028493,-8.821641592,8.524595166
20,0.5,-12.60439946,-8.860009738,-9.224826807
24,0.6,-13.4041172,-7.162629945,8.97662056
28,0.7,-14.05043877,-5.78672931,7.295790652
32,0.8,-14.53961884,-4.026209302,12.71339933
36,0.9,-14.84194794,-2.053249876,16.70630326
40,1,-14.95214041,-0.181785327,17.61272082
0,0,-3.845182958,-12.80206426,0
4,0.1,-5.064772349,-11.60959474,-0.271198696
8,0.2,-6.111988222,-9.372009599,11.90369264
12,0.3,-6.953456986,-7.488748137,10.41792698
16,0.4,-7.680740809,-7.064006168,-3.02541853
20,0.5,-8.400070356,-7.318346475,-9.73669854
24,0.6,-9.074321069,-6.185544668,4.585510935
28,0.7,-9.674093619,-5.81606333,-2.302912122
32,0.8,-10.28808543,-6.453156364,-12.51084841
36,0.9,-10.96838923,-7.141450154,-13.68597599
40,1,-11.71436199,-7.767571249,-13.72093846
0,0,-8.624554264,-15.37607479,0
4,0.1,-10.16780133,-15.48701787,-16.54190149
8,0.2,-11.73540368,-15.85883313,-19.39417606
12,0.3,-13.22271648,-13.91973585,4.517844804
16,0.4,-14.50792564,-11.81944623,8.150804651
20,0.5,-15.61588377,-10.36397024,3.475178646
24,0.6,-16.592073,-9.179551546,2.082294526
28,0.7,-17.45087888,-8.01595606,3.047896073
32,0.8,-18.27740239,-8.506342368,-13.16909817
36,0.9,-19.05464221,-7.062513708,6.665888457
40,1,-19.74442821,-6.738603978,-3.658762745
0,0,-9.559692439,-5.737113923,0
4,0.1,-10.02288902,-3.563046106,17.10871236
8,0.2,-10.34150043,-2.82153845,4.228962489
12,0.3,-10.60336517,-2.42240745,1.372662581
16,0.4,-10.92241746,-3.933458407,-18.30103249
20,0.5,-11.37263589,-5.052266477,-15.69026498
24,0.6,-11.8132387,-3.780974392,8.306892748
28,0.7,-12.19407847,-3.834921951,-4.347873248
32,0.8,-12.55568906,-3.404462996,0.688483638
36,0.9,-12.94776763,-4.420182606,-14.07798182
40,1,-13.41673361,-4.95030313,-9.990865048
0,0,-9.500961909,-11.75764927,0
4,0.1,-10.71396895,-12.49028308,-19.45640854
8,0.2,-11.96142663,-12.45938526,-12.16559854
12,0.3,-13.15804495,-11.48914911,-2.263821776
16,0.4,-14.30299443,-11.41114044,-10.66940812
20,0.5,-15.44116021,-11.35314171,-10.80167055
24,0.6,-16.56661599,-11.15920549,-9.315195507
28,0.7,-17.55210796,-8.593390367,15.80323155
32,0.8,-18.44858497,-9.323975402,-16.27062043
36,0.9,-19.26686606,-7.079055518,14.26638793
40,1,-19.93980039,-6.391095308,0.150258739
0,0,4.683494961,-12.73322358,0
4,0.1,3.389357246,-13.14270714,-17.03621276
8,0.2,2.077169219,-13.10173613,-12.71217017
12,0.3,0.865482104,-11.16429152,7.257574971
16,0.4,-0.271246055,-11.56361734,-15.36053977
20,0.5,-1.297525951,-9.004623377,15.32714065
24,0.6,-2.088516079,-6.851065823,13.62567426
28,0.7,-2.813569763,-7.636912608,-15.1090047
32,0.8,-3.575261688,-7.597581301,-7.22360617
36,0.9,-4.379310078,-8.468867484,-16.75334574
40,1,-5.150412606,-6.978026277,7.197386799
0,0,3.671103134,-10.69448766,0
4,0.1,2.56403658,-11.43451173,-18.47090624
8,0.2,1.500033498,-9.871594186,4.989144652
12,0.3,0.475867948,-10.59958565,-17.52157017
16,0.4,-0.557970123,-10.08573845,-5.199908725
20,0.5,-1.597025617,-10.68537908,-16.38696124
24,0.6,-2.670883275,-10.79003018,-11.78508748
28,0.7,-3.734694279,-10.49117008,-7.649509036
32,0.8,-4.796024147,-10.73142374,-13.01583533
36,0.9,-5.785191332,-9.079448285,6.628082703
40,1,-6.638136961,-7.99749386,2.290087962
0,0,-9.087848865,-8.509552797,0
4,0.1,-9.946630095,-8.663506327,-10.12734759
8,0.2,-10.74815106,-7.388165175,4.738201839
12,0.3,-11.37178188,-5.122210747,16.42323612
16,0.4,-11.8342406,-4.143276494,5.164755341
20,0.5,-12.30380931,-5.229988853,-15.5628107
24,0.6,-12.82309509,-5.156944008,-4.462409375
28,0.7,-13.26621454,-3.729236147,9.845884116
32,0.8,-13.52570024,-1.497664438,19.72086013
36,0.9,-13.69074239,-1.798171103,-4.655488222
40,1,-13.78822044,-0.1783819,15.22311153
0,0,5.561425071,-8.577749491,0
4,0.1,4.683117709,-8.981666911,-12.82224782
8,0.2,3.818072195,-8.330100978,-2.134795802
12,0.3,3.118395175,-5.707148029,19.23275928
16,0.4,2.492846436,-6.785851345,-17.04252054
20,0.5,1.927874503,-4.550831452,16.7004796
24,0.6,1.511274932,-3.79377546,3.404564216
28,0.7,1.149622273,-3.44508821,-0.129654096
32,0.8,0.915693587,-1.269735353,19.4142417
36,0.9,0.85361337,0.006858003,12.14513139
40,1,0.832336903,-0.425187777,-4.533222468
0,0,4.474601784,-15.65128877,0
4,0.1,3.055036133,-12.78774208,14.43981045
8,0.2,1.874831908,-10.84865516,7.588826857
12,0.3,0.76331358,-11.3729742,-16.35837368
16,0.4,-0.248741135,-8.909176554,14.51742935
20,0.5,-1.148308691,-9.079338986,-10.69729987
24,0.6,-1.916237892,-6.325140698,19.86269086
28,0.7,-2.458574826,-4.551159415,12.31644349
32,0.8,-2.975580481,-5.768665283,-17.34511522
36,0.9,-3.467762285,-4.102731734,11.73751744
40,1,-3.80449942,-2.656117202,11.09877396
0,0,-0.634434433,-10.12395218,0
4,0.1,-1.539680757,-8.016099329,12.02606527
8,0.2,-2.222505661,-5.679338276,16.53936149
12,0.3,-2.748406446,-4.852456481,3.009810102
16,0.4,-3.121902997,-2.654107588,18.24852342
20,0.5,-3.449094442,-3.869468666,-15.42552523
24,0.6,-3.819475993,-3.543592711,-0.44505596
28,0.7,-4.155924792,-3.191254598,0.158893141
32,0.8,-4.55449718,-4.754149271,-19.61467062
36,0.9,-5.044022789,-5.031737198,-7.67113535
40,1,-5.53966115,-4.883500228,-3.474013907
0,0,0.584150375,-13.7761455,0
4,0.1,-0.650537439,-10.96446431,15.76993381
8,0.2,-1.610226084,-8.274139876,17.30635788
12,0.3,-2.305363734,-5.6719753,19.07026927
16,0.4,-2.885950729,-5.935375325,-8.4398702
20,0.5,-3.484756179,-6.039006777,-7.024369028
24,0.6,-3.979212453,-3.885996233,16.58554271
