,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
1770,1770.0,1770.0,1770.0,1770.0,1770.0,0.0,,,,,,,,,,,0.0,0.0,-1.0,14.373755049417946,0.0,0.1277763454,3.1644103966,0.2935392998
1771,1771.0,1771.0,1771.0,1771.0,1771.0,1.0,,,,,,,,,,,0.1,-0.0256307204,0.4630062253,-20.0,0.1277763454,0.2595116511,3.0366340512,0.2935392998
1772,1772.0,1772.0,1772.0,1772.0,1772.0,2.0,,,,,,,,,,,0.2,-0.0783182094,-1.4843062856,13.09217294086706,0.3872879965,0.1641617736999999,2.7771224001,0.2935392998
1773,1773.0,1773.0,1773.0,1773.0,1773.0,3.0,,,,,,,,,,,0.3,-0.1562363733,-0.0971708277,-20.0,0.5514497702,0.3460827071,2.6129606264,0.2935392998
1774,1774.0,1774.0,1774.0,1774.0,1774.0,4.0,,,,,,,,,,,0.4,-0.262231718,-1.991175483,16.76319975380114,0.8975324773,0.2956140514000001,2.2668779193,0.2935392998
1775,1775.0,1775.0,1775.0,1775.0,1775.0,5.0,,,,,,,,,,,0.5,-0.3706265254,-0.2064607002,-20.0,1.1931465287,0.3822264082,1.9712638679,0.2935392998
1776,1776.0,1776.0,1776.0,1776.0,1776.0,6.0,,,,,,,,,,,0.6,-0.4870222084,-2.0900650172,16.10342794884185,1.5753729369,0.3327408611,1.5890374597,0.2935392998
1777,1777.0,1777.0,1777.0,1777.0,1777.0,7.0,,,,,,,,,,,0.7,-0.6080191914,-0.3587252394,-19.518069032848064,1.908113798,0.4267584696999997,1.2562965986,0.2935392998
1778,1778.0,1778.0,1778.0,1778.0,1778.0,8.0,,,,,,,,,,,0.8,-0.7365734704,-2.1819778636,1.9287165468995888,2.3348722677,0.4671284968,0.8295381289000003,0.2935392998
1779,1779.0,1779.0,1779.0,1779.0,1779.0,9.0,,,,,,,,,,,0.9,-0.9348860621,-1.7907936172,2.224804477463123,2.8020007645,0.3624096321000003,0.3624096321000003,0.2935392998
