,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
3,0.3,426.6397,394.955,369.2201,348.3033,331.4094,317.8958,307.1906,298.7736,292.1922,287.0899,283.2334,280.5288,279.0207,278.8723,280.3253,283.6435,289.0494,296.6681,306.4964,318.4113,345.11580833230965,347.3343250828534,1133.8817,243.72720000000004,1319.8788,4.895800000000008
4,0.4,337.3592,331.0948,325.7051,320.7469,315.9599,311.2534,306.6738,302.362,298.5101,295.326,293.009,291.7383,291.6693,292.9348,295.6482,299.9056,305.7895,313.3752,322.744,334.0057,262.2906122753626,357.74485509358766,1377.6089,135.07220000000007,1076.1516,4.895800000000008
5,0.5,269.7217,276.5283,282.3773,287.0604,290.5159,292.8218,294.1687,294.8225,295.0852,295.2641,295.6492,296.5026,298.0552,300.5097,304.046,308.8294,315.0195,322.7833,332.3134,343.8549,298.7650342369609,322.7952485937142,1512.6811,125.05230000000006,941.0793999999999,4.895800000000008
6,0.6,295.7014,293.2598,291.4314,290.1927,289.4997,289.2909,289.4961,290.0482,290.8918,291.9885,293.3162,294.8643,296.6294,298.6123,300.8205,303.2761,306.0295,309.1747,312.8623,317.3082,444.0690473949139,367.1483463148328,1637.7334,144.1096,816.0270999999998,4.895800000000008
7,0.7,408.8244,380.1535,356.8493,338.1731,323.5802,312.5752,304.6566,299.3184,296.0822,294.5348,294.3593,295.3513,297.42,300.5777,304.9202,310.6041,317.8262,326.8096,337.8061,351.1182,309.0492706372251,203.1828783708947,1781.843,144.59439999999995,671.9174999999998,4.895800000000008
8,0.8,308.5547,308.4593,308.3244,307.856,306.9224,305.5386,303.8213,301.9303,300.0049,298.1088,296.1903,294.0603,291.3922,287.7459,282.6148,275.4962,265.978,253.8281,239.0661,221.9965,307.30566252647134,310.5108344979661,1926.4374,242.40339999999992,527.3230999999998,4.895800000000008
9,0.9,304.4132,302.174,300.3905,298.8948,297.5488,296.2443,294.9018,293.4709,291.9335,290.3085,288.6602,287.1058,285.8191,285.026,284.9854,285.9581,288.1645,291.7445,296.7288,303.0379,179.1522505544944,238.12586752352092,2168.8408,284.9196999999999,284.9196999999999,4.895800000000008
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,239.50882293383415,229.58496783497117,0.0,486.8917,2673.7607,5.724199999999996
1,0.1,246.0627,251.9089,256.9584,261.1659,264.5371,267.124,269.0106,270.2931,271.0597,271.3728,271.2557,270.6861,269.5953,267.8758,265.3957,262.0193,257.6323,252.1658,245.6152,238.0458,347.1903107716479,409.4183637203405,486.8917,478.1603,2186.8689999999997,5.724199999999996
2,0.2,330.7005,316.4552,304.4407,294.6346,286.944,281.188,277.1171,274.4594,272.9773,272.5228,273.0797,274.7874,277.9405,282.9638,290.3622,300.6544,314.306,331.6892,353.0958,378.8325,356.34537798921895,251.3252932052972,965.052,243.0632999999999,1708.7086999999997,5.724199999999996
3,0.3,341.1023,328.1626,317.2193,308.0642,300.5462,294.544,289.946,286.6359,284.4789,283.308,282.9089,283.0084,283.2692,283.2989,282.677,281.0017,277.9506,273.3439,267.1937,259.7202,340.9952061659146,359.78947252781376,1208.1153,248.11380000000008,1465.6453999999999,5.724199999999996
4,0.4,330.5578,321.7879,314.3698,308.0679,302.7112,298.1795,294.393,291.3046,288.8977,287.1892,286.2376,286.152,287.098,289.2951,293.0021,298.49,306.0092,315.7619,327.8941,342.5204,461.33680575673384,406.5309042792106,1456.2291,170.06169999999997,1217.5315999999998,5.724199999999996
5,0.5,423.0384,392.2467,367.2978,347.1708,331.1644,318.7242,309.3647,302.6501,298.2051,295.7359,295.0483,296.0539,298.7667,303.289,309.792,318.4967,329.6621,343.5896,360.654,381.3729,307.7238265272075,276.9925336920943,1626.2908,104.94090000000006,1047.4698999999998,5.724199999999996
6,0.6,308.311,309.1928,309.8794,310.0491,309.5719,308.4947,306.9954,305.3195,303.7141,302.3707,301.3843,300.7325,300.2755,299.7763,298.9399,297.4674,295.1186,291.7714,287.4654,282.4163,416.8527414099348,209.66090591809777,1731.2317,185.01880000000006,942.5289999999998,5.724199999999996
7,0.7,389.9732,368.1049,350.354,336.1034,324.8545,316.1428,309.5044,304.473,300.5908,297.4188,294.5399,291.5569,288.0864,283.7585,278.2251,271.1817,262.3987,251.7584,239.2831,225.1471,253.4713504724628,326.3852318016918,1916.2505,263.93370000000004,757.5101999999997,5.724199999999996
8,0.8,264.2197,273.9463,282.1285,288.4412,292.7814,295.2474,296.088,295.6409,294.2785,292.3717,290.2759,288.3332,286.8833,286.269,286.8298,288.8778,292.6617,298.3302,305.9101,315.3142,323.9405145263587,245.7956970754322,2180.1842,232.95899999999983,493.57649999999967,5.724199999999996
