,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg
9,0.9,314.4410356711023,310.4187155788156,307.35272050148234,305.1535519130224,303.76274924534397,303.14304667403593,303.27858924808885,304.1756640833083,305.86316376362174,308.3936157878446,311.8455464696507,316.3277152080817,321.9857251999224,329.011746946493,337.65861396743725,348.2604964670624,361.2640261023764,377.2766388407445,397.1437496965663,422.07438507073766,319.6046953137553,453.8504731853845,927.2306362868941,19.059234200698597,29.687245398286564
10,1.0,299.39070463883274,299.0115525008589,298.82805783736376,298.8768072571235,299.24375379139434,299.95704265048676,301.0283080972461,302.476722781773,304.3251393222776,306.58429255809364,309.23746913472746,312.23295876831816,315.4899711473803,318.9229372705503,322.4833073780944,326.1991098907407,330.1566614469578,334.34355858069557,338.4085552649074,342.2291033365482,300.9677862105548,351.3141170742647,937.858647484482,10.628011197587966,10.628011197587966
0,0.0,269.0,250.0,267.0,268.0,268.0,262.0,257.0,262.0,270.0,269.0,262.0,270.0,245.0,259.0,269.0,269.0,265.0,254.0,243.0,252.0,322.9952579286678,322.99525792946616,0.0,0.0,827.6215253257011
1,0.1,374.4559143465296,348.9841096190764,327.59904807664793,311.4739605088998,298.66906255939597,288.86738092197004,281.62907253660046,276.35685670470895,273.0410447160126,271.9206676714995,272.7080137085281,274.71841452507357,280.690273764793,287.92040829715893,298.7805028759582,313.80453125018283,333.0434706176418,357.73104655782134,389.85635385772423,430.8164474883534,400.7095844399794,473.0,506.6232566030394,506.6232566030394,827.6215253257011
2,0.2,316.5399982396499,312.1145002224136,307.43820739611255,302.740102956969,298.5516969508335,295.04550195847577,292.3169946422686,290.52497519127644,289.87218244942005,290.5890181461952,292.9423220004534,297.20738520345884,303.496375806582,312.1738781308749,323.3977858834564,337.4665635653843,354.80792309699535,375.95350237372526,401.64819398258464,433.14603457421475,324.80179419887054,473.0,640.9780810343616,134.35482443132219,320.9982687226617
3,0.3,308.8045450642568,305.0034212687146,301.882266628942,299.39078781517014,297.53370412857913,296.3454910244225,295.88626408343123,296.2438848364345,297.5348841085228,299.89910468740754,303.49241816227527,308.48542331883056,315.07433415806474,323.4724341650467,333.9498869592873,346.8474991259618,362.62221570851244,381.91920475979066,405.68017837294144,435.3158010415932,313.77550810555954,473.0,688.7215169547399,47.74343592037826,186.6434442913395
4,0.4,306.72401015828905,303.48659264359424,301.0008272172196,299.2253776084291,298.15069710965224,297.7830487922568,298.1484795062818,299.29515837521495,301.292871494988,304.2321323469829,308.2247218189293,313.4066764591463,319.9446654887343,328.04847610392545,337.9881628090346,350.1213720008371,364.93118808635467,383.08067920897054,405.50166064789,433.57661871539835,310.92084028931475,469.6069211550994,717.1080633749763,28.386546420236414,138.90000837096125
5,0.5,307.9520035497448,304.5812004204409,302.07166684412675,300.3612267906838,299.4087671319799,299.19968531565473,299.74018470922636,301.0537232417045,303.1803498767713,306.1777657785576,310.12374887556905,315.1205744357577,321.3027665680463,328.84979250879843,338.005209029527,349.1020169006009,362.59178292770696,379.0754640088866,399.3554591345591,424.6341212577694,312.19665631453927,457.3740084850153,738.7268415420838,21.618778167107507,110.51346195072483
6,0.6,311.80819513651306,307.7226473894151,304.6580024463882,302.5207929638632,301.23425117242203,300.7600441112255,301.08537569475834,302.2150242968826,304.1709059735346,306.99556721390377,310.7572170159656,315.55575359481827,321.53037308611954,328.86989955009716,337.8273538600972,348.7410289447204,362.0660858997321,378.4241607024317,398.6837213484649,424.0922906634018,316.7901022407065,456.52232872110153,759.1738809459237,20.44703940383988,88.89468378361732
7,0.7,315.9652089959604,311.18417408412984,307.539001659728,304.9158633250682,303.2207994737146,302.401342782615,302.4328889301535,303.31012128997645,305.046205067084,307.676114058516,311.2615468106608,315.8967556705337,321.71585050701793,328.9028137974974,337.70589973076494,348.4585671878046,361.60997809028447,377.7704513355759,397.7847284143939,422.86946856479375,321.770728331986,454.92229101258835,778.8169874026953,19.643106456771648,68.44764437977744
8,0.8,315.31992697328855,311.03710608140614,307.74641822671833,305.3599284392748,303.8201321907058,303.08844537031433,303.1464988259895,303.99731349156446,305.66568724352527,308.1991778067825,311.67060267735786,316.1825432587181,321.87433050733904,328.9322758747458,337.60438043996663,348.2214343407417,361.227593497744,377.2261173342911,397.0527288132663,421.90849848334693,320.7846357848179,453.64405632637727,797.9342735167321,19.1172861140368,48.804537923005796
9,0.9,314.4398699479265,310.418081867487,307.352404748944,305.15340797121917,303.7627100553263,303.1430706057236,303.278640807352,304.1757153567904,305.8631982096787,308.3936282630893,311.84554020667133,316.32769791467587,321.9857057930027,329.01173352148504,337.6586129819301,348.26051277894237,361.2640633968669,377.2767001673865,397.1438381943182,422.0745053816751,319.6033121720112,453.85063869672825,816.9935071227108,19.059233605978648,29.687251808968995
10,1.0,299.39098920231805,299.01172141567554,298.8281554499159,298.87686322899424,299.2437813039944,299.9570502995047,301.02830385477967,302.4767134467674,304.3251296036655,306.58428499262925,309.2374645847802,312.2329570394217,315.489971469217,318.92293858887973,322.4833085103899,326.199109602731,330.15665841012725,334.3435510034956,338.4085400597906,342.2290763139961,300.9681229794958,351.3140832970957,827.6215253257011,10.628018202990347,10.628018202990347
0,0.0,250.0,256.0,269.0,248.0,270.0,265.0,265.0,245.0,247.0,247.0,261.0,264.0,247.0,251.0,270.0,260.0,258.0,259.0,254.0,264.0,323.0000015000412,323.0000015000412,0.0,0.0,917.3449326889472
1,0.1,388.41483889863105,357.49319204663124,332.9309040502201,315.1866149579329,299.2824967157066,287.67684157496205,278.6187052575993,273.06838397302886,269.098989049808,267.657876772841,267.78009743249197,270.54605471666355,276.7033106943515,284.87785566837834,295.82736954039024,311.8919048421941,331.76042274933974,356.6610650719167,389.115559598924,430.290337183947,418.3386031104952,473.0,573.9614372657962,573.9614372657962,917.3449326889472
2,0.2,318.443333558161,313.9382948376076,308.9133991600426,303.69318677530975,299.03810291731145,295.02895793637384,291.8405402981288,289.58152972473124,288.55746222960386,288.98478417974155,291.17580430395867,295.3344075280047,301.6561526300868,310.42824252431916,321.8584855419143,336.13942947172006,353.7369010055252,375.16431490458524,401.1307878194353,432.89793639713304,327.46297734462996,473.0,725.8238569751195,151.86241970932326,343.383495423151
3,0.3,309.7536142859863,305.75610164928764,302.4455954825187,299.76490810141837,297.7131542465981,296.33432565707545,295.6907018602267,295.8795046376945,297.02109094523735,299.26415183375286,302.7690934873159,307.71361831292234,314.29111338230143,322.71624190709906,333.25210386490187,346.2375063569341,362.11984305469764,381.5370871182163,405.42524987992675,435.1888899023952,314.9685367212944,473.0,777.355880303481,51.53202332836145,191.5210757138277
4,0.4,307.07470949578124,303.77307331452477,301.21724679729465,299.367246791126,298.2174114940578,297.7757140664959,298.07037549452446,299.15252871931665,301.0962785946044,303.9969565044243,307.97168137073055,313.16175550139724,319.7393666634029,327.91915931173406,337.9756466323371,350.270026249773,365.29029926227486,383.7104157453901,406.4867778018084,435.0347182314996,311.3689115723241,471.60335277495733,806.825848643299,29.469968339818024,139.98905238546627
5,0.5,308.04247937201916,304.6584957549931,302.13232914578236,300.4027678537441,299.43067576850643,299.2028374469348,299.72671635315874,301.0272046674099,303.1457711662349,306.1411544362986,310.0913617937466,315.09782993435067,321.293143971899,328.85413362862465,338.0217380214369,349.1270802289085,362.6199799318543,379.0961254935266,399.3435467020645,424.5528613879597,312.31262031483374,457.2898586718488,828.4476024025829,21.621753759283934,110.51908404564824
6,0.6,311.78397672479986,307.7079518868769,304.64952600287614,302.5158709753758,301.23116114300296,300.75758895615144,301.08272554477645,302.21172409240876,304.16688601059974,306.99108647474014,310.75275105775495,315.55186810338563,321.52762320207836,328.86876069597986,337.82815430106484,348.7438495740085,362.07074324134766,378.43071653582626,398.6939080486793,424.109593195396,316.75968290363926,456.5411580055647,848.8953999563047,20.447797553721784,88.89733028636431
7,0.7,315.9858427321595,311.19840848690103,307.54853248869847,304.92197635310924,303.22431054479375,302.4028941455217,302.43306179857905,303.30943040412154,305.04507327409567,307.67486391061107,311.26040838121634,315.89588002433294,321.71532131122706,328.90265670709044,337.7060958405536,348.4590781348979,361.6107709174386,377.77146323504905,397.78571368639723,422.8700249399627,321.7964831981923,454.92334610012546,868.5408429751996,19.645443018894866,68.44953273264252
8,0.8,315.31339495672506,311.0331702928019,307.74422932790253,305.3588531416781,303.81980165918185,303.0885917986201,303.14689636454983,303.99778404394647,305.6661134569506,308.1995021916988,311.6708142303074,316.1826591501574,321.87437916478063,328.9322847635641,337.6043690217012,348.2214105793758,361.2275521806501,377.2260419322949,397.0526006386892,421.90830131052803,320.7764550309041,453.6437765487178,887.6576875507211,19.116844575521554,48.80408971374766
9,0.9,314.4410826980477,310.41874115935866,307.3527332614436,305.153557741728,303.7627508452577,303.1430457232906,303.2785871778476,304.1756620196347,305.8631623746082,308.39361528249685,311.84554671940526,316.3277159040476,321.98572598437084,329.01174749473796,337.6586140207858,348.26049583070994,361.2640246273076,377.2766364042234,397.1437461808152,422.07438030661876,319.6047511133925,453.85046660803295,906.716921789086,19.059234238364866,29.687245138226103
10,1.0,299.3906932028982,299.01154572118236,298.8280539272039,298.87680502149203,299.24375269948797,299.9570423563216,301.0283082799959,302.4767231679293,304.3251397226107,306.5842928709531,309.2374693259638,312.2329588463554,315.4899711438017,318.9229372283056,322.483307345225,326.1991099173712,330.1566615871392,334.3435589071519,338.408555901932,342.2291044522491,300.96777267655705,351.3141184690387,917.3449326889472,10.628010899861238,10.628010899861238
0,0.0,244.0,244.0,269.0,269.0,245.0,256.0,261.0,256.0,257.0,251.0,265.0,248.0,263.0,263.0,244.0,244.0,264.0,247.0,271.0,272.0,336.8132110354273,336.81321103542706,0.0,0.0,947.5980323628353
1,0.1,389.71600858109775,358.57480081193984,333.1412336704166,314.1366473930981,300.03995931323647,287.6230963528598,278.55498055239644,272.6880104887752,268.9271169482862,267.62986031837323,267.54374208271054,271.0767188159739,275.5700024543378,283.58224081514544,295.91402419860856,311.349219506314,330.4550159251564,356.67239299560225,388.22477284100694,429.96571927512,420.10121657179866,473.0,600.3094359669045,600.3094359669045,947.5980323628353
2,0.2,318.61799090357425,314.08196863666745,309.04328558207874,303.8268131278099,299.0446453915856,295.032185051083,291.80163752444713,289.5116981696747,288.4381248832112,288.8248766628103,290.9899032582732,295.07508087740297,301.4415669049799,310.2061654730733,321.57635197660557,335.9067516430976,353.5694072902402,374.9774431608349,401.0389190774178,432.84447940805916,327.71259303766584,473.0,755.3784277892977,155.06899182239317,347.28859639593077
3,0.3,309.87462603093917,305.8510879228995,302.5149506203914,299.8081905206254,297.7365956853844,296.3328830992956,295.6671866466944,295.8348884486724,296.9580357409056,299.1848660614026,302.6767175206884,307.6150377284974,314.18600187465046,322.61222318925013,333.15686154793406,346.15091104033,362.04557619834264,381.48228922180556,405.38663103723553,435.1698626425599,315.12107006744117,473.0,807.45855937357,52.080131584272294,192.2196045735376
