,0,1,2,3,4,5
79,8.0,0.2,0.149546336,-14.29013579,-8.390370064,1196.2722892901288
80,12.0,0.3,-1.137291352,-11.49322537,15.10072725,991.6899527378245
81,16.0,0.4,-2.28656928,-11.49234782,-11.4840038,857.1621318954843
82,20.0,0.5,-3.316477262,-9.144928931,13.17510912,719.2002626909938
83,24.0,0.6,-4.275744426,-10.02573667,-18.40074899,623.7035986069704
84,28.0,0.7,-5.196664415,-8.419430426,6.853862509,503.2132746173528
85,32.0,0.8,-6.082422923,-9.28137636,-17.47704442,405.08626772050957
86,36.0,0.9,-7.042175521,-9.903311752,-15.81687991,280.4192165620136
87,40.0,1.0,-7.948404913,-8.248845909,7.482364523,131.50052838570383
89,4.0,0.1,-11.21444677,-11.78287946,-2.526886876,3248.838864899083
90,8.0,0.2,-12.4241712,-12.40130368,-18.28148643,2984.2068743866093
91,12.0,0.3,-13.61207504,-11.37389376,-1.604939231,2674.383447685667
92,16.0,0.4,-14.65092248,-9.435358702,8.996876119,2359.716522377633
93,20.0,0.5,-15.53696291,-8.30429771,2.450205656,2055.6362801277533
94,24.0,0.6,-16.31783832,-7.329455091,1.939672118,1745.2476856659428
95,28.0,0.7,-16.9550022,-5.445221302,12.47069903,1425.2361146576698
96,32.0,0.8,-17.56087702,-6.652162656,-18.12816169,1107.3359883564262
97,36.0,0.9,-18.20465295,-6.230384456,-2.21997732,753.0571674116873
98,40.0,1.0,-18.78839982,-5.457433418,1.892041627,382.80544641567064
100,4.0,0.1,5.135904386,-6.589855985,-10.48467056,523.4686408025336
101,8.0,0.2,4.586325924,-4.437578584,16.02698938,453.1152834536006
102,12.0,0.3,4.074138217,-5.783743204,-18.58352326,411.10447234033757
103,16.0,0.4,3.483604235,-6.02295031,-8.297410883,359.32744799552665
104,20.0,0.5,2.843373814,-6.769222327,-13.86502438,310.571783955881
105,24.0,0.6,2.134376962,-7.400200172,-13.39974697,255.70344389209487
106,28.0,0.7,1.347153378,-8.328797453,-17.15820864,195.48715019620957
107,32.0,0.8,0.524129496,-8.134911098,-6.291375282,122.83144034058462
108,36.0,0.9,-0.165711716,-5.702447435,17.42622452,56.18204302494904
109,40.0,1.0,-0.681800969,-4.637090619,5.492675631,22.11830939808405
111,4.0,0.1,-6.247967686,-13.86985378,8.443623955,2780.4731320733254
112,8.0,0.2,-7.63824823,-13.93467688,-14.55103648,2548.7067140619774
113,12.0,0.3,-9.000829171,-13.3270671,-7.549711553,2295.1299949756612
114,16.0,0.4,-10.28619821,-12.39583164,-3.541335836,2036.219360999567
115,20.0,0.5,-11.52651672,-12.41029746,-12.54784326,1776.694140039418
116,24.0,0.6,-12.67090657,-10.50917968,7.567279282,1489.0308274449083
117,28.0,0.7,-13.69324236,-9.946905813,-4.600619273,1217.7497780140552
