,t,xi1,xi2,ui,xf1,xf2,uf
40,1,-10.89408291,0.482394955,-1.922381311,1.524644545,-1.286288406,0
0,0,1.524644545,-1.286288406,0,1.408839059,-1.034025003,1.364579168
4,0.1,1.408839059,-1.034025003,1.364579168,1.313463972,-0.876108232,0.625416853
8,0.2,1.313463972,-0.876108232,0.625416853,1.232520511,-0.744946659,0.502181113
12,0.3,1.232520511,-0.744946659,0.502181113,1.164012454,-0.62717698,0.492616221
16,0.4,1.164012454,-0.62717698,0.492616221,1.106367851,-0.527378126,0.421542503
20,0.5,1.106367851,-0.527378126,0.421542503,1.058548356,-0.430624068,0.489345633
24,0.6,1.058548356,-0.430624068,0.489345633,1.021899585,-0.30445384,0.895214568
28,0.7,1.021899585,-0.30445384,0.895214568,0.996714898,-0.200964423,0.783047308
32,0.8,0.996714898,-0.200964423,0.783047308,0.981192443,-0.110984099,0.744578692
36,0.9,0.981192443,-0.110984099,0.744578692,0.972687315,-0.059968583,0.425103874
40,1,0.972687315,-0.059968583,0.425103874,-8.696014101,-12.94823636,0
0,0,-8.696014101,-12.94823636,0,-9.831453344,-9.812797098,20
4,0.1,-9.831453344,-9.812797098,20,-10.66851609,-6.975734333,20
8,0.2,-10.66851609,-6.975734333,20,-11.23559662,-4.408653787,20
12,0.3,-11.23559662,-4.408653787,20,-11.55838713,-2.085863257,20
16,0.4,-11.55838713,-2.085863257,20,-11.68703242,-0.513248238,14.43969738
20,0.5,-11.68703242,-0.513248238,14.43969738,-11.73514254,-0.450008048,0.151300666
24,0.6,-11.73514254,-0.450008048,0.151300666,-11.76700836,-0.191614297,2.265279257
28,0.7,-11.76700836,-0.191614297,2.265279257,-11.76735316,0.17854997,3.698194702
32,0.8,-11.76735316,0.17854997,3.698194702,-11.71953504,0.767990119,6.372582709
36,0.9,-11.71953504,0.767990119,6.372582709,-11.65589399,0.509144153,-1.952049206
40,1,-11.65589399,0.509144153,-1.952049206,0.128302922,-3.926109564,0
0,0,0.128302922,-3.926109564,0,-0.148567441,-1.649239212,19.99999989
4,0.1,-0.148567441,-1.649239212,19.99999989,-0.239557295,-0.194794574,13.63454784
8,0.2,-0.239557295,-0.194794574,13.63454784,-0.258909856,-0.192298251,-0.168562378
12,0.3,-0.258909856,-0.192298251,-0.168562378,-0.29083847,-0.442111174,-2.817415373
16,0.4,-0.29083847,-0.442111174,-2.817415373,-0.338665715,-0.513248295,-1.189643659
20,0.5,-0.338665715,-0.513248295,-1.189643659,-0.386775838,-0.450008005,0.151301665
24,0.6,-0.386775838,-0.450008005,0.151301665,-0.418641666,-0.191614386,2.265277918
28,0.7,-0.418641666,-0.191614386,2.265277918,-0.427071092,0.019507745,2.026927052
32,0.8,-0.427071092,0.019507745,2.026927052,-0.424407853,0.033523472,0.16678965
36,0.9,-0.424407853,0.033523472,0.16678965,-0.421714501,0.020559603,-0.102705166
40,1,-0.421714501,0.020559603,-0.102705166,-8.759726395,-13.69705573,0
0,0,-8.759726395,-13.69705573,0,-9.966425222,-10.49035688,20
4,0.1,-9.966425222,-10.49035688,20,-10.86796631,-7.588815777,20
8,0.2,-10.86796631,-7.588815777,20,-11.49338925,-4.963392818,20
12,0.3,-11.49338925,-4.963392818,20,-11.86897016,-2.587811889,20
16,0.4,-11.86897016,-2.587811889,20,-12.02240186,-0.515357245,19.19022945
20,0.5,-12.02240186,-0.515357245,19.19022945,-12.07046859,-0.44711456,0.20175954
24,0.6,-12.07046859,-0.44711456,0.20175954,-12.10239395,-0.195584063,2.196051394
28,0.7,-12.10239395,-0.195584063,2.196051394,-12.10265707,0.183996357,3.793172997
