,Unnamed: 0,Unnamed: 0.1,t,xi1,xi2,ui,xf1,xf2,uf
189,207,36,0.9,3.552405019,-0.400837841,2.662676292,3.521678903,-0.216752076,1.533596488
191,210,4,0.1,-1.989631313,-13.94813732,20.0,-3.220223713,-10.71754491,20.0
192,211,8,0.2,-3.220223713,-10.71754491,20.0,-4.143384597,-7.794384004,20.0
193,212,12,0.3,-4.143384597,-7.794384004,20.0,-4.788369942,-5.149398643,20.0
194,213,16,0.4,-4.788369942,-5.149398643,20.0,-5.181651651,-2.756116921,20.0
195,214,20,0.5,-5.181651651,-2.756116921,20.0,-5.347182493,-0.590586083,19.99999996
196,215,24,0.6,-5.347182493,-0.590586083,19.99999996,-5.385550638,-0.183559464,3.68658474
197,216,28,0.7,-5.385550638,-0.183559464,3.68658474,-5.386061161,0.167498999,3.505479398
198,217,32,0.8,-5.386061161,0.167498999,3.505479398,-5.357175129,0.406243243,2.676302772
199,218,36,0.9,-5.357175129,0.406243243,2.676302772,-5.324328678,0.253235465,-1.201613284
201,221,4,0.1,2.434487579,-1.884986205,5.877050736,2.26387723,-1.533084808,1.812910489
202,222,8,0.2,2.26387723,-1.533084808,1.812910489,2.122949687,-1.289524722,1.026325428
203,223,12,0.3,2.122949687,-1.289524722,1.026325428,2.004735181,-1.078285451,0.930247656
204,224,16,0.4,2.004735181,-1.078285451,0.930247656,1.906888803,-0.881914417,0.985246559
205,225,20,0.5,1.906888803,-0.881914417,0.985246559,1.828181687,-0.695337003,1.078702978
206,226,24,0.6,1.828181687,-0.695337003,1.078702978,1.767739962,-0.516477995,1.184172829
207,227,28,0.7,1.767739962,-0.516477995,1.184172829,1.724777561,-0.345617221,1.278983738
208,228,32,0.8,1.724777561,-0.345617221,1.278983738,1.698044923,-0.191602036,1.272825459
209,229,36,0.9,1.698044923,-0.191602036,1.272825459,1.683357738,-0.103607983,0.73306869
211,232,4,0.1,-2.971433607,-4.181482257,20.0,-3.272605894,-1.880309962,20.0
212,233,8,0.2,-3.272605894,-1.880309962,20.0,-3.374829858,-0.192298167,15.8578783
213,234,12,0.3,-3.374829858,-0.192298167,15.8578783,-3.406758472,-0.442111251,-2.817416974
214,235,16,0.4,-3.406758472,-0.442111251,-2.817416974,-3.454585714,-0.513248168,-1.189641587
215,236,20,0.5,-3.454585714,-0.513248168,-1.189641587,-3.502695838,-0.450008152,0.151298908
216,237,24,0.6,-3.502695838,-0.450008152,0.151298908,-3.534561661,-0.191614156,2.265281732
217,238,28,0.7,-3.534561661,-0.191614156,2.265281732,-3.534906463,0.178549754,3.698191085
218,239,32,0.8,-3.534906463,0.178549754,3.698191085,-3.511839756,0.281075907,1.255928602
219,240,36,0.9,-3.511839756,0.281075907,1.255928602,-3.489302704,0.171491237,-0.870476184
221,243,4,0.1,6.061566867,-9.659090123,20.0,5.239131272,-6.83665452,20.0
222,244,8,0.2,5.239131272,-6.83665452,20.0,4.685285936,-4.282809211,19.99999972
223,245,12,0.3,4.685285936,-4.282809211,19.99999972,4.340703658,-2.636274026,13.01952908
224,246,16,0.4,4.340703658,-2.636274026,13.01952908,4.111214556,-1.964699069,4.42085854
225,247,20,0.5,4.111214556,-1.964699069,4.42085854,3.937806743,-1.511017287,2.802739695
226,248,24,0.6,3.937806743,-1.511017287,2.802739695,3.806834228,-1.11503167,2.650131025
227,249,28,0.7,3.806834228,-1.11503167,2.650131025,3.714148942,-0.744842841,2.775035422
228,250,32,0.8,3.714148942,-0.744842841,2.775035422,3.656547463,-0.412721166,2.745201967
229,251,36,0.9,3.656547463,-0.412721166,2.745201967,3.624911572,-0.223155565,1.579297096
231,254,4,0.1,-1.821083355,-4.551832762,20.0,-2.157499152,-2.215416958,20.0
232,255,8,0.2,-2.157499152,-2.215416958,20.0,-2.276199256,-0.192298155,19.04418699
233,256,12,0.3,-2.276199256,-0.192298155,19.04418699,-2.30812787,-0.442111275,-2.81741735
234,257,16,0.4,-2.30812787,-0.442111275,-2.81741735,-2.355955112,-0.513248135,-1.189641009
235,258,20,0.5,-2.355955112,-0.513248135,-1.189641009,-2.404065238,-0.450008204,0.151298047
236,259,24,0.6,-2.404065238,-0.450008204,0.151298047,-2.43593106,-0.191614086,2.265282959
237,260,28,0.7,-2.43593106,-0.191614086,2.265282959,-2.436275865,0.178549622,3.698189031
238,261,32,0.8,-2.436275865,0.178549622,3.698189031,-2.417055533,0.205409413,0.460801229
239,262,36,0.9,-2.417055533,0.205409413,0.460801229,-2.400730585,0.122471618,-0.666128466
241,265,4,0.1,9.107240345,-6.290654795,-6.193974122,8.513032822,-5.604922636,0.915246363
242,266,8,0.2,8.513032822,-5.604922636,0.915246363,7.992382142,-4.821151644,2.631203115
243,267,12,0.3,7.992382142,-4.821151644,2.631203115,7.549290096,-4.05348164,3.245779577
244,268,16,0.4,7.549290096,-4.05348164,3.245779577,7.181239273,-3.319761441,3.656693771
245,269,20,0.5,7.181239273,-3.319761441,3.656693771,6.884919474,-2.618323232,4.051184092
246,270,24,0.6,6.884919474,-2.618323232,4.051184092,6.657314708,-1.944992397,4.457260697
247,271,28,0.7,6.657314708,-1.944992397,4.457260697,6.495522046,-1.301582563,4.816171713
248,272,32,0.8,6.495522046,-1.301582563,4.816171713,6.394847609,-0.721571413,4.793367138
249,273,36,0.9,6.394847609,-0.721571413,4.793367138,6.339535788,-0.390187165,2.760724258
251,276,4,0.1,1.322060278,-3.578646173,20.0,1.078255409,-1.33484171,19.99999594
252,277,8,0.2,1.078255409,-1.33484171,19.99999594,0.976232205,-0.715935763,5.168827429
253,278,12,0.3,0.976232205,-0.715935763,5.168827429,0.913858022,-0.534570159,1.189914204
254,279,16,0.4,0.913858022,-0.534570159,1.189914204,0.860766673,-0.527376677,-0.45897866
255,280,20,0.5,0.860766673,-0.527376677,-0.45897866,0.812947233,-0.430624406,0.4893283
256,281,24,0.6,0.812947233,-0.430624406,0.4893283,0.778909416,-0.253090337,1.434962518
257,282,28,0.7,0.778909416,-0.253090337,1.434962518,0.758466918,-0.157354939,0.752929011
258,283,32,0.8,0.758466918,-0.157354939,0.752929011,0.746389734,-0.085387998,0.598897566
259,284,36,0.9,0.746389734,-0.085387998,0.598897566,0.739854396,-0.045975527,0.328771329
261,287,4,0.1,8.854694515,-6.512745761,8.662388608,8.254018388,-5.517363711,3.947059229
262,288,8,0.2,8.254018388,-5.517363711,3.947059229,7.744392748,-4.688953616,3.187844563
263,289,12,0.3,7.744392748,-4.688953616,3.187844563,7.314036009,-3.930814703,3.277821738
264,290,16,0.4,7.314036009,-3.930814703,3.277821738,6.957241181,-3.216977171,3.570427033
265,291,20,0.5,6.957241181,-3.216977171,3.570427033,6.670119246,-2.536795996,3.930592399
266,292,24,0.6,6.670119246,-2.536795996,3.930592399,6.449605952,-1.884342297,4.31940406
267,293,28,0.7,6.449605952,-1.884342297,4.31940406,6.29285923,-1.2609798,4.666157743
268,294,32,0.8,6.29285923,-1.2609798,4.666157743,6.195325448,-0.699059605,4.643864137
269,295,36,0.9,6.195325448,-0.699059605,4.643864137,6.141739275,-0.378013724,2.674597077
271,298,4,0.1,0.207679273,-12.19951369,20.0,-0.856509587,-9.135324808,20.0
272,299,8,0.2,-0.856509587,-9.135324808,20.0,-1.629102321,-6.362732057,20.0
273,300,12,0.3,-1.629102321,-6.362732057,20.0,-2.13784797,-3.853986395,20.0
274,301,16,0.4,-2.13784797,-3.853986395,20.0,-2.407854906,-1.583979461,19.99999999
275,302,20,0.5,-2.407854906,-1.583979461,19.99999999,-2.50783049,-0.434683954,10.49319923
276,303,24,0.6,-2.50783049,-0.434683954,10.49319923,-2.540011603,-0.212638439,1.898644016
277,304,28,0.7,-2.540011603,-0.212638439,1.898644016,-2.53992384,0.207394313,4.201205154
278,305,32,0.8,-2.53992384,0.207394313,4.201205154,-2.518613534,0.218624666,0.32540659
279,306,36,0.9,-2.518613534,0.218624666,0.32540659,-2.501290685,0.12932047,-0.719813469
281,309,4,0.1,4.659217815,-3.308611974,0.176900288,4.34999628,-2.882912528,1.164779111
282,310,8,0.2,4.34999628,-2.882912528,1.164779111,4.082856495,-2.466816954,1.489557886
283,311,12,0.3,4.082856495,-2.466816954,1.489557886,3.856274989,-2.071402304,1.688331446
284,312,16,0.4,3.856274989,-2.071402304,1.688331446,3.668221257,-1.695929177,1.87419395
285,313,20,0.5,3.668221257,-1.695929177,1.87419395,3.516849027,-1.337488442,2.070685046
286,314,24,0.6,3.516849027,-1.337488442,2.070685046,3.400585283,-0.993518318,2.277063799
287,315,28,0.7,3.400585283,-0.993518318,2.277063799,3.317940427,-0.664855598,2.460178641
288,316,32,0.8,3.317940427,-0.664855598,2.460178641,3.266515394,-0.368582132,2.448484331
289,317,36,0.9,3.266515394,-0.368582132,2.448484331,3.238261854,-0.199309419,1.410191724
291,320,4,0.1,1.191815443,-13.87597429,20.0,-0.031909737,-10.6522491,20.0
292,321,8,0.2,-0.031909737,-10.6522491,20.0,-0.948856903,-7.735301912,20.0
293,322,12,0.3,-0.948856903,-7.735301912,20.0,-1.588219844,-5.095938957,20.0
294,323,16,0.4,-1.588219844,-5.095938957,20.0,-1.976414191,-2.707744601,20.0
295,324,20,0.5,-1.976414191,-2.707744601,20.0,-2.1373418,-0.546817037,19.99999956
296,325,24,0.6,-2.1373418,-0.546817037,19.99999956,-2.17355796,-0.183559447,3.2704143
297,326,28,0.7,-2.17355796,-0.183559447,3.2704143,-2.174068491,0.167498834,3.505477495
298,327,32,0.8,-2.174068491,0.167498834,3.505477495,-2.156427837,0.185022239,0.351640592
299,328,36,0.9,-2.156427837,0.185022239,0.351640592,-2.141743294,0.109920112,-0.604175845
301,331,4,0.1,0.31199614,-2.214731106,19.99999993,0.17764854,-0.500781969,15.79601536
302,332,8,0.2,0.17764854,-0.500781969,15.79601536,0.142877563,-0.19965551,2.663554823
303,333,12,0.3,0.142877563,-0.19965551,2.663554823,0.111100185,-0.432019949,-2.641418167
304,334,16,0.4,0.111100185,-0.432019949,-2.641418167,0.063065317,-0.527093119,-1.431080384
305,335,20,0.5,0.063065317,-0.527093119,-1.431080384,0.015240044,-0.431013397,0.482544492
306,336,24,0.6,0.015240044,-0.431013397,0.482544492,-0.017016591,-0.217674363,1.81082399
307,337,28,0.7,-0.017016591,-0.217674363,1.81082399,-0.029797404,-0.040887859,1.640056906
308,338,32,0.8,-0.029797404,-0.040887859,1.640056906,-0.032141276,-0.006561582,0.319824055
309,339,36,0.9,-0.032141276,-0.006561582,0.319824055,-0.032556575,-0.001823365,0.043229175
311,342,4,0.1,-1.130600891,0.644188535,8.260512216,-1.088563199,0.203902197,-3.982486452
312,343,8,0.2,-1.088563199,0.203902197,-3.982486452,-1.088313109,-0.192298158,-3.959502655
313,344,12,0.3,-1.088313109,-0.192298158,-3.959502655,-1.120241724,-0.442111287,-2.81741744
314,345,16,0.4,-1.120241724,-0.442111287,-2.81741744,-1.168068965,-0.513248124,-1.189640778
315,346,20,0.5,-1.168068965,-0.513248124,-1.189640778,-1.216179092,-0.450008232,0.151297648
316,347,24,0.6,-1.216179092,-0.450008232,0.151297648,-1.248044914,-0.191614057,2.265283538
