,Unnamed: 0,t,x1,x2,u,ctg
148,5,0.5,-0.603874798,-2.276855683,-13.42460434,10.0568764
149,6,0.6,-0.87163647,-3.065240204,-10.56146192,9.411892737
150,7,0.7,-1.247154094,-4.422495127,-17.32772547,8.340575734
151,8,0.8,-1.708878354,-4.805605965,-8.448350987,6.079065051
152,9,0.9,-2.078312546,-2.619506783,18.1666499,3.441966341
153,10,1,-2.401658901,-3.82729388,-15.31133452,2.158832874
155,1,0.1,-0.083780008,-0.680917324,2.353026676,12.309621
156,2,0.2,-0.206431301,-1.754223082,-11.9595705,12.25978588
157,3,0.3,-0.395905194,-2.03064845,-4.658992607,11.87627897
158,4,0.4,-0.661961429,-3.269826721,-15.05234507,11.43739846
159,5,0.5,-1.047063879,-4.413169751,-15.2844548,10.21111594
160,6,0.6,-1.443041569,-3.521246945,4.959451166,8.037067658
161,7,0.7,-1.80779766,-3.769734102,-6.132432477,6.576614678
162,8,0.8,-2.121172648,-2.518614198,9.377449151,4.809908556
163,9,0.9,-2.393605039,-2.923290147,-6.771083394,3.681661191
164,10,1,-2.72871412,-3.76486752,-11.76686454,2.23124037
166,1,0.1,-0.142405439,-1.834207627,-9.766130657,5.892238942
167,2,0.2,-0.356287495,-2.433447829,-8.131222578,5.506090595
168,3,0.3,-0.650191938,-3.428066817,-12.88523432,4.868171293
169,4,0.4,-0.881647372,-1.237544489,19.59066893,3.567717496
170,5,0.5,-1.047147306,-2.058769376,-9.867248201,3.144938496
171,6,0.6,-1.169889047,-0.42331842,15.12709215,2.56275232
172,7,0.7,-1.266491527,-1.490940452,-11.64224513,2.293553975
173,8,0.8,-1.398894228,-1.162585242,1.959525089,1.843092617
174,9,0.9,-1.574113481,-2.322471588,-13.35105598,1.510321797
175,10,1,-1.778040301,-1.765348665,3.531961025,0.634025696
177,1,0.1,-0.107015724,-1.138014623,-2.450303473,10.75632414
178,2,0.2,-0.249728136,-1.70675616,-7.114539484,10.62266918
179,3,0.3,-0.479768557,-2.874591581,-13.97875842,10.29982277
180,4,0.4,-0.657517204,-0.71634613,19.80496804,9.352774463
181,5,0.5,-0.766025341,-1.441728911,-8.338909183,9.062108019
182,6,0.6,-0.981600796,-2.846373349,-16.20219893,8.760801608
183,7,0.7,-1.31927205,-3.889666417,-13.80964323,7.723007847
184,8,0.8,-1.65803249,-2.90200073,6.489052474,5.940656366
185,9,0.9,-2.000739339,-3.934923741,-13.75629861,4.802534467
186,10,1,-2.427754254,-4.594385358,-10.86476531,2.759258316
188,1,0.1,0.001585751,0.748414249,-20,3.770833918
189,2,0.2,-0.023941578,-1.226058422,20,3.514821277
190,3,0.3,-0.151172024,-1.317034481,20,3.164442032
191,4,0.4,-0.288895247,-1.435456613,20,2.788698751
192,5,0.5,-0.435308557,-1.491869518,20,2.374299136
193,6,0.6,-0.582957587,-1.461615241,20,1.932782316
194,7,0.7,-0.723639333,-1.353816031,20,1.48516645
195,8,0.8,-0.851209667,-1.200151302,19,1.049519277
196,9,0.9,-0.963407773,-1.046373369,16.5,0.652527173
197,10,1,-1.062718824,-0.941593683,15,0.314096996
199,1,0.1,-0.026828892,0.43943556,14.12606668,9.223384759
200,2,0.2,-0.018390428,-0.259027165,-6.900242604,8.031832559
201,3,0.3,-0.029126354,0.039336743,2.876279818,7.726332539
202,4,0.4,-0.009992759,0.338352387,3.181492386,7.682571887
203,5,0.5,-0.03046585,-0.730011112,-10.8883659,7.517380225
204,6,0.6,-0.112438263,-0.906496226,-2.584575274,6.390753275
205,7,0.7,-0.15981335,-0.055191552,8.039295879,5.522975357
206,8,0.8,-0.08643798,1.496836135,16.25403057,5.171237552
207,9,0.9,-0.025244831,-0.243964657,-16.79607644,1.602280063
208,10,1,-0.027485699,0.191884363,4.336081529,0.131583088
210,1,0.1,0.001585751,0.748414249,-20,3.941708918
211,2,0.2,-0.023941578,-1.226058422,20,3.685696277
212,3,0.3,-0.151172024,-1.317034481,20,3.335317032
213,4,0.4,-0.288895247,-1.435456613,20,2.959573751
214,5,0.5,-0.435308557,-1.491869518,20,2.545174136
215,6,0.6,-0.582957587,-1.461615241,20,2.103657316
216,7,0.7,-0.723639333,-1.353816031,20,1.65604145
217,8,0.8,-0.851209667,-1.200151302,20,1.220394277
218,9,0.9,-0.963407773,-1.046373369,20,0.803902173
219,10,1,-1.062718824,-0.941593683,20,0.401596996
221,1,0.1,0.001585751,0.748414249,-20,3.811958918
222,2,0.2,-0.023941578,-1.226058422,20,3.555946277
223,3,0.3,-0.151172024,-1.317034481,20,3.205567032
224,4,0.4,-0.288895247,-1.435456613,20,2.829823751
225,5,0.5,-0.435308557,-1.491869518,18.5,2.415424136
226,6,0.6,-0.582957587,-1.461615241,16,2.002782316
227,7,0.7,-0.723639333,-1.353816031,20,1.62716645
228,8,0.8,-0.851209667,-1.200151302,18.5,1.191519277
229,9,0.9,-0.963407773,-1.046373369,-20,0.803902173
230,10,1,-1.062718824,-0.941593683,-20,0.401596996
232,1,0.1,0.001585751,0.748414249,-20,3.941708918
233,2,0.2,-0.023941578,-1.226058422,20,3.685696277
234,3,0.3,-0.151172024,-1.317034481,20,3.335317032
235,4,0.4,-0.288895247,-1.435456613,20,2.959573751
236,5,0.5,-0.435308557,-1.491869518,20,2.545174136
237,6,0.6,-0.582957587,-1.461615241,20,2.103657316
238,7,0.7,-0.723639333,-1.353816031,20,1.65604145
239,8,0.8,-0.851209667,-1.200151302,20,1.220394277
240,9,0.9,-0.963407773,-1.046373369,-20,0.803902173
241,10,1,-1.062718824,-0.941593683,-20,0.401596996
243,1,0.1,-0.003251667,0.659501667,-20,3.384024368
244,2,0.2,-0.037240146,-1.306509854,17,3.140529066
245,3,0.3,-0.169322484,-1.334667688,15.5,2.825193584
246,4,0.4,-0.307982423,-1.436828691,13.5,2.524067789
247,5,0.5,-0.454363395,-1.489906268,-20,2.217009803
248,6,0.6,-0.601796559,-1.459267574,-20,1.774383125
249,7,0.7,-0.742254228,-1.351678654,-20,1.32522103
250,8,0.8,-0.869630944,-1.198409721,-20,0.887423378
251,9,0.9,-0.981680716,-1.045139787,-8.5,0.468178994
252,10,1,-1.080886845,-0.940722791,-6.5,0.226452574
254,1,0.1,0.001585751,0.748414249,-20,3.827958918
255,2,0.2,-0.023941578,-1.226058422,20,3.571946277
256,3,0.3,-0.151172024,-1.317034481,20,3.221567032
257,4,0.4,-0.288895247,-1.435456613,20,2.845823751
258,5,0.5,-0.435308557,-1.491869518,18.5,2.431424136
259,6,0.6,-0.582957587,-1.461615241,17.5,2.018782316
260,7,0.7,-0.723639333,-1.353816031,18,1.61804145
261,8,0.8,-0.851209667,-1.200151302,-20,1.220394277
262,9,0.9,-0.963407773,-1.046373369,-20,0.803902173
263,10,1,-1.062718824,-0.941593683,-20,0.401596996
265,1,0.1,0.001585751,0.748414249,-20,3.941708918
266,2,0.2,-0.023941578,-1.226058422,20,3.685696277
267,3,0.3,-0.151172024,-1.317034481,20,3.335317032
268,4,0.4,-0.288895247,-1.435456613,20,2.959573751
269,5,0.5,-0.435308557,-1.491869518,20,2.545174136
270,6,0.6,-0.582957587,-1.461615241,20,2.103657316
271,7,0.7,-0.723639333,-1.353816031,20,1.65604145
272,8,0.8,-0.851209667,-1.200151302,20,1.220394277
273,9,0.9,-0.963407773,-1.046373369,-20,0.803902173
274,10,1,-1.062718824,-0.941593683,-20,0.401596996
276,1,0.1,0.001585751,0.751539249,-19.5,3.421377256
277,2,0.2,-0.021225485,-1.175649515,20,3.174770881
278,3,0.3,-0.145364874,-1.304983051,19,2.83651065
279,4,0.4,-0.282400593,-1.433588265,17,2.483599479
280,5,0.5,-0.428740817,-1.492238876,16,2.125606939
281,6,0.6,-0.576445689,-1.462356519,15.5,1.756547383
282,7,0.7,-0.717200517,-1.354536747,15.5,1.389344761
283,8,0.8,-0.844836587,-1.200747383,16,1.034305123
284,9,0.9,-0.957085535,-1.046796971,-17.5,0.690750809
285,10,1,-1.056432606,-0.941892575,-16.5,0.336446147
287,1,0.1,0.001585755,0.785914245,-14,3.141309154
288,2,0.2,0.008651531,-0.621151531,20,2.981542782
289,3,0.3,-0.081610446,-1.174861051,20,2.742952375
290,4,0.4,-0.21123394,-1.413630009,20,2.4042565
291,5,0.5,-0.35680429,-1.496397773,20,1.999959542
292,6,0.6,-0.505129395,-1.470535282,17.5,1.563307982
293,7,0.7,-0.646690028,-1.362478031,14.5,1.16842001
294,8,0.8,-0.775050127,-1.207309669,-13.5,0.835839572
295,9,0.9,-0.887858752,-1.051459894,-13,0.538884639
296,10,1,-0.987602501,-0.945186022,-12.5,0.264998532
298,1,0.1,0.001585751,0.748414249,-20,3.941708918
299,2,0.2,-0.023941578,-1.226058422,20,3.685696277
300,3,0.3,-0.151172024,-1.317034481,20,3.335317032
301,4,0.4,-0.288895247,-1.435456613,20,2.959573751
302,5,0.5,-0.435308557,-1.491869518,20,2.545174136
303,6,0.6,-0.582957587,-1.461615241,20,2.103657316
304,7,0.7,-0.723639333,-1.353816031,20,1.65604145
305,8,0.8,-0.851209667,-1.200151302,20,1.220394277
306,9,0.9,-0.963407773,-1.046373369,-20,0.803902173
307,10,1,-1.062718824,-0.941593683,-20,0.401596996
