,0,1,x1,x2,u,ctg
243,4,0.1,6.061566867,-9.659090123,20,372.7903322
244,8,0.2,5.239131272,-6.83665452,20,240.7497174
245,12,0.3,4.685285936,-4.282809211,19.99999972,164.5613758
246,16,0.4,4.340703658,-2.636274026,13.01952908,122.2670169
247,20,0.5,4.111214556,-1.964699069,4.42085854,95.6278272
248,24,0.6,3.937806743,-1.511017287,2.802739695,74.76797969
249,28,0.7,3.806834228,-1.11503167,2.650131025,56.93920775
250,32,0.8,3.714148942,-0.744842841,2.775035422,41.16880932
251,36,0.9,3.656547463,-0.412721166,2.745201967,26.78061199
252,40,1,3.624911572,-0.223155565,1.579297096,13.20225321
254,4,0.1,-1.821083355,-4.551832762,20,85.69362374
255,8,0.2,-2.157499152,-2.215416958,20,59.65809766
256,12,0.3,-2.276199256,-0.192298155,19.04418699,48.09522277
257,16,0.4,-2.30812787,-0.442111275,-2.81741735,41.06375585
258,20,0.5,-2.355955112,-0.513248135,-1.189641009,35.50115
259,24,0.6,-2.404065238,-0.450008204,0.151298047,29.68012563
260,28,0.7,-2.43593106,-0.191614086,2.265282959,23.69797413
261,32,0.8,-2.436275865,0.178549622,3.698189031,17.70184051
262,36,0.9,-2.417055533,0.205409413,0.460801229,11.66613744
263,40,1,-2.400730585,0.122471618,-0.666128466,5.780725275
265,4,0.1,9.107240345,-6.290654795,-6.193974122,678.339953
266,8,0.2,8.513032822,-5.604922636,0.915246363,555.633962
267,12,0.3,7.992382142,-4.821151644,2.631203115,451.742888
268,16,0.4,7.549290096,-4.05348164,3.245779577,364.5865964
269,20,0.5,7.181239273,-3.319761441,3.656693771,291.1114266
270,24,0.6,6.884919474,-2.618323232,4.051184092,228.4535561
271,28,0.7,6.657314708,-1.944992397,4.457260697,174.1137629
272,32,0.8,6.495522046,-1.301582563,4.816171713,125.9115925
273,36,0.9,6.394847609,-0.721571413,4.793367138,81.90969111
274,40,1,6.339535788,-0.390187165,2.760724258,40.38006802
276,4,0.1,1.322060278,-3.578646173,20,28.49390128
277,8,0.2,1.078255409,-1.33484171,19.99999594,11.93934947
278,12,0.3,0.976232205,-0.715935763,5.168827429,6.994913165
279,16,0.4,0.913858022,-0.534570159,1.189914204,5.395735946
280,20,0.5,0.860766673,-0.527376677,-0.45897866,4.267754729
281,24,0.6,0.812947233,-0.430624406,0.4893283,3.247655996
282,28,0.7,0.778909416,-0.253090337,1.434962518,2.400138203
283,32,0.8,0.758466918,-0.157354939,0.752929011,1.719088019
284,36,0.9,0.746389734,-0.085387998,0.598897566,1.116220866
285,40,1,0.739854396,-0.045975527,0.328771329,0.550038729
287,4,0.1,8.854694515,-6.512745761,8.662388608,644.0951527
288,8,0.2,8.254018388,-5.517363711,3.947059229,522.8984955
289,12,0.3,7.744392748,-4.688953616,3.187844563,424.2504773
290,16,0.4,7.314036009,-3.930814703,3.277821738,342.2377605
291,20,0.5,6.957241181,-3.216977171,3.570427033,273.2376129
292,24,0.6,6.670119246,-2.536795996,3.930592399,214.4217262
293,28,0.7,6.449605952,-1.884342297,4.31940406,163.4186537
294,32,0.8,6.29285923,-1.2609798,4.666157743,118.1772046
295,36,0.9,6.195325448,-0.699059605,4.643864137,76.87819216
296,40,1,6.141739275,-0.378013724,2.674597077,37.89962305
298,4,0.1,0.207679273,-12.19951369,20,346.7213121
299,8,0.2,-0.856509587,-9.135324808,20,195.8500472
300,12,0.3,-1.629102321,-6.362732057,20,109.6622792
301,16,0.4,-2.13784797,-3.853986395,20,64.5239456
302,20,0.5,-2.407854906,-1.583979461,19.99999999,43.10034052
303,24,0.6,-2.50783049,-0.434683954,10.49319923,32.79358434
304,28,0.7,-2.540011603,-0.212638439,1.898644016,25.76488429
305,32,0.8,-2.53992384,0.207394313,4.201205154,19.24998599
306,36,0.9,-2.518613534,0.218624666,0.32540659,12.66750986
307,40,1,-2.501290685,0.12932047,-0.719813469,6.275769531
309,4,0.1,4.659217815,-3.308611974,0.176900288,177.7957231
310,8,0.2,4.34999628,-2.882912528,1.164779111,145.1403428
311,12,0.3,4.082856495,-2.466816954,1.489557886,117.899907
312,16,0.4,3.856274989,-2.071402304,1.688331446,95.13391001
313,20,0.5,3.668221257,-1.695929177,1.87419395,75.9580934
314,24,0.6,3.516849027,-1.337488442,2.070685046,59.60850742
315,28,0.7,3.400585283,-0.993518318,2.277063799,45.42996632
316,32,0.8,3.317940427,-0.664855598,2.460178641,32.85298231
317,36,0.9,3.266515394,-0.368582132,2.448484331,21.37195827
318,40,1,3.238261854,-0.199309419,1.410191724,10.53600728
320,4,0.1,1.191815443,-13.87597429,20,443.6797118
321,8,0.2,-0.031909737,-10.6522491,20,247.7166251
322,12,0.3,-0.948856903,-7.735301912,20,132.2451961
323,16,0.4,-1.588219844,-5.095938957,20,69.50997102
