,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
5,0.5,226.07574332,229.22501299,235.66722186,244.66197143,254.464288,263.34394223,270.24310879,274.90020277,277.63552375,279.05440538,279.81996633,280.53913198,281.75032635,283.98813732,287.89850804,294.35860069,304.50557755,319.53124191,340.15378448,365.92313728,453.68270451672754,416.66461907788516,1967.87140178,396.40835964999974,1333.30687074,-49.65605777000002
6,0.6,391.66623703,338.92939394,301.03370807,278.5295139,268.30610646,265.97113279,267.6707824,270.82932234,274.10606879,277.04765999,279.74144484,282.57726062,286.11705085,291.0369097,298.10100983,308.12587928,321.89045875,339.95316388,362.37794489,388.46352193,285.08765903808774,220.64840849639086,2364.27976143,237.32603204000043,936.8985110900003,-47.02886720999999
7,0.7,292.0276824,295.71680018,294.81884438,290.33645337,284.53735528,279.52854908,276.46020701,275.52299384,276.36552842,278.52962103,281.70721656,285.79675995,290.79698346,296.56365922,302.44482981,306.87423316,307.17137094,299.96954485,282.57745202,254.90367532,409.94755676675516,127.94899779702797,2601.60579347,205.4535479199999,699.5724790499999,-33.471450919999995
8,0.8,375.08803444,344.46985702,320.63385738,303.89501728,293.04614609,286.45188741,282.77766409,281.18047631,281.18022265,282.46083556,284.71382423,287.52218724,290.24561115,291.8848402,290.94453261,285.37092044,272.70777029,250.64376226,217.99963693,175.83672886,359.00722944481294,357.8014267390211,2807.05934139,231.79706002000012,494.11893112999996,-26.548112590000017
9,0.9,348.20142727,337.01321203,325.54871977,314.47085523,304.65845981,296.79403515,291.15426432,287.63061678,285.85578407,285.3169773,285.41350767,285.48522353,284.87917491,283.13768511,280.36607602,277.72497727,277.7610104,284.0551773,299.77611424,325.50542584,309.2319354239062,445.9775763212198,3038.85640141,262.32187110999985,262.32187110999985,-16.205964849999987
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,345.13127742752505,247.30253804258064,0.0,448.34869243,6578.87890213,-40.0
1,0.1,324.09385454,305.86138454,292.12042417,283.06123608,277.79741264,275.07996322,273.82339719,273.29881354,273.09920809,273.02781206,272.99788024,272.96674822,272.89407109,272.70678126,272.25902082,271.29088141,269.41558896,266.18816505,261.29281546,254.79732247,104.75400989525667,133.03089271897136,448.34869243,467.59248211,6130.530209699999,-37.920036779999975
2,0.2,159.84856287,206.61674253,240.25071345,260.5833591,270.66022473,274.42780153,275.10279516,274.65372933,274.00686407,273.45872357,273.00086545,272.48245193,271.6343768,269.99042677,266.73532075,260.5409562,249.54048427,231.67635385,205.57604237,171.70709324,116.04541107992965,224.6750172721252,915.94117454,582.3426353499999,5662.93772759,-38.57219846999999
3,0.3,150.48642372,182.52447342,210.19797387,232.32603235,248.64205754,259.67741274,266.45841673,270.15184716,271.78143475,272.06929588,271.39066599,269.80316614,267.12359293,263.05504173,257.38482563,250.24538524,242.33817335,234.9106097,229.29492258,226.11095534,271.39152021152574,259.4073446615831,1498.28380989,762.55994975,5080.59509224,-53.32258725999998
4,0.4,254.03382497,241.36943734,235.86684453,237.0982432,242.71498316,249.97705444,256.80880546,262.09615353,265.48599758,267.04382077,266.98252447,265.52493023,262.884419,259.32545235,255.26151549,251.33886669,248.43587734,247.50024498,249.19743452,253.48711365,460.1351097840769,419.3724880788896,2260.84375964,831.0073627699999,4318.03514249,-63.02294556000001
5,0.5,396.78151297,342.08417633,301.41364217,275.64287799,262.22653237,257.22924379,256.94882359,258.65383248,260.64690028,262.03747399,262.48637054,262.03410085,261.04418359,260.26665269,261.00659287,265.3173807,276.0065282,296.12183469,327.70506358,370.1658873,276.2260241387223,80.48504213984833,3091.85112241,642.9689744500001,3487.02777972,-55.77075621
6,0.6,285.42350597,290.70901169,290.36224767,285.37495223,278.27094512,271.48760996,266.42429022,263.37296564,261.94701273,261.5730552,261.81997365,262.51691703,263.66657447,265.1357824,266.10015803,264.34431602,255.83031427,235.27660204,198.32735344,144.74912427,141.03263298784395,325.65415100986587,3734.82009686,600.44818893,2844.05880527,-41.512390040000014
7,0.7,182.89992253,218.6710575,244.62835292,260.3002442,267.65454689,269.59535117,268.7612979,266.98872329,265.28816053,264.04264507,263.22193615,262.53584322,261.551218,259.86415256,257.43295121,255.08019514,254.91950099,260.16887155,273.85821359,296.71174341,260.4218752550451,102.59059339723336,4335.26828579,700.3355839100004,2243.61061634,-43.404648829999985
8,0.8,254.34336201,250.69860412,250.53487229,253.19543215,257.08166091,260.67953029,263.14543867,264.32680442,264.47869504,263.96308341,263.06871845,261.95053735,260.61261221,258.83167506,255.93542484,250.45105442,239.86050178,220.93977395,191.08690081,150.32186616,435.79522962349904,304.111345828459,5035.6038697,781.1769037199992,1543.2750324299996,-52.32046971
9,0.9,382.72624563,336.98313605,302.99927513,281.29775103,269.52503577,264.29045572,262.57677306,262.30991704,262.3123325,262.00868793,261.12587404,259.4855239,256.9224737,253.35972211,249.06923168,245.0744879,243.46102959,247.14636722,258.7267883,278.67370058,267.55581214115557,90.26477900259727,5816.78077342,762.0981287100003,762.0981287100003,-48.70954427999999
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,132.59464523270066,100.3063346445744,0.0,484.07144881,4465.354235,-40.0
1,0.1,173.54443172,209.03446734,235.78166098,253.41556751,263.66168116,268.95118783,271.39679492,272.41649347,272.79949208,272.91831913,272.90844028,272.75577426,272.28290917,271.02825621,268.02013465,261.51420181,248.91183578,227.22274771,194.32463677,150.67313679,130.17971971245504,371.99058033243307,484.07144881,606.02865398,3981.2827861899996,-44.04881217000002
2,0.2,160.1061306,187.95111873,212.07571452,231.56330599,246.26253977,256.62806711,263.45908306,267.63847424,269.93732991,270.90342282,270.82343557,269.74897066,267.60375634,264.42525353,260.79281264,258.38467996,260.34580892,270.87055269,293.51942981,328.69489271,443.26875692931196,436.96339161709216,1090.10010279,730.6864349800001,3375.2541322099996,-56.37193288999998
3,0.3,376.38437528,320.54589097,282.10007422,261.17169543,253.54115135,253.73363501,257.2383007,261.25458119,264.4536145,266.43840913,267.31013288,267.45717021,267.53382077,268.5497249,271.97920214,279.7828126,294.21067081,317.26939545,349.86233607,390.89952872,260.27059607566355,467.7691552202021,1820.78653777,550.9090573200001,2644.56769723,-59.26636499
