,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
7,0.7,307.29699818,286.10732336,273.78128939,269.64155243,270.77224081,274.05839846,277.44627975,280.13160218,282.12900199,283.7407886,285.18187661,286.3852974,286.91848301,285.94382261,282.19861623,274.02379354,259.53148037,237.0360336,205.79220008,166.81402146,96.80836200679042,171.08408410027494,2386.88158095,378.76420237,1401.8955596399996,-38.94160154000002
8,0.8,150.26662068,196.14338354,230.11570569,252.10758535,264.89841651,271.96727277,276.0417854,278.70214971,280.61890979,281.9206896,282.4401931,281.81688333,279.53352625,274.9708119,267.53385929,256.85510458,243.00793683,226.59557863,208.58394381,189.90295634,440.8173892815259,468.1123525645298,2765.64578332,541.2479309999999,1023.1313572699996,-41.03272722999998
9,0.9,378.20368186,326.38662257,291.38126141,272.97016465,266.75814448,267.36718903,270.59681646,274.00273355,276.49298678,277.69288264,277.4905665,275.86066147,272.93704672,269.3031243,266.467393,267.38609794,276.6430932,299.65432094,340.46701413,398.76805628,73.73645114403243,249.3544486335422,3306.89371432,481.88342626999975,481.88342626999975,-45.63281096999998
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,455.0419909392792,261.75541623966615,0.0,457.16019611,2351.19554016,2.543864059999976
1,0.1,401.94860877,355.93424008,321.25533782,298.39213266,285.107524,278.24935468,275.07816286,273.75458057,273.25215765,273.07682096,273.01768292,272.99044879,272.95490573,272.87199191,272.67583156,272.25214506,271.43155226,270.01930819,267.87722045,265.03495072,450.178286503178,314.5759851917801,457.16019611,409.05194055999993,1894.0353440499998,2.543864059999976
2,0.2,413.70887533,379.62707237,349.87043359,325.60512688,307.12258466,293.96421258,285.1966085,279.71774794,276.49602627,274.70101788,273.73781611,273.22489823,272.96005669,272.91032097,273.24450625,274.39468848,277.07973611,282.17478678,290.34104216,301.51122049,444.0842536961177,466.351955849461,866.21213667,376.54695660000004,1484.98340349,2.543864059999976
3,0.3,415.84615379,388.71763136,363.72301705,341.69304075,323.15608468,308.27999469,296.89414048,288.57952236,282.79014742,278.97131207,276.65858959,275.56257826,275.66210436,277.33665692,281.55203339,290.04391408,305.31065902,330.10687516,366.24055159,413.01359826,306.91655422020415,143.4318295681024,1242.75909327,275.38780765,1108.4364468899998,2.543864059999976
4,0.4,322.10845336,332.76609757,336.40991314,333.27147517,325.4516115,315.54386406,305.64481988,297.02591464,290.26054234,285.50847378,282.7701218,282.03166561,283.25717596,286.17180829,289.79361739,291.80549777,288.16354422,273.6551722,243.96532525,198.71850123,331.7739390172493,405.2692014169028,1518.14690092,245.3937734399999,833.0486392399998,2.543864059999976
5,0.5,330.74576929,329.33795848,327.13791724,323.79391401,319.18987171,313.54890294,307.38197991,301.32508155,295.96175628,291.69684041,288.69367361,286.86453245,285.92577824,285.57472932,285.86157059,287.7354585,293.48695805,306.51094896,329.87911021,364.04736241,188.79892573542946,454.4812641445015,1763.54067436,226.21092025000007,587.6548657999999,2.543864059999976
6,0.6,228.28357191,261.96370655,286.29835117,300.79895909,307.2244169,308.17112917,306.01065582,302.46674945,298.63637345,295.17420929,292.48366508,290.8804735,290.74585649,292.67988951,297.63207986,306.94434565,322.20759931,344.84043468,375.403946,412.89485968,325.8859931274384,371.2092482852594,1989.75159461,126.84837139000024,361.44394554999985,2.543864059999976
7,0.7,312.81628416,302.93652014,297.74919786,296.64502758,297.77295192,299.26620635,299.99502689,299.67567834,298.61280859,297.3916594,296.67722635,297.12902779,299.36880611,303.9251121,311.09977226,320.75854652,332.14864525,343.94682951,354.71531445,363.66386834,194.76611429894388,409.4526602443078,2116.599966,77.80949598999996,234.59557415999961,2.543864059999976
8,0.8,225.71661295,252.35087943,272.15768885,284.98762865,292.30393906,296.01670118,297.70587171,298.42189089,298.82831892,299.4066843,300.58273754,302.75933913,306.29601885,311.48245913,318.54198591,327.67721992,339.12650289,353.14956958,369.86104556,388.94363727,231.85786245897145,96.6684269214218,2194.40946199,64.82714440999962,156.78607816999966,2.543864059999976
9,0.9,242.89437519,253.85884939,264.42243586,274.01413997,282.08116577,288.35406083,292.93734146,296.22792491,298.76483458,301.0975232,303.69571387,306.86922804,310.63476961,314.45587795,316.81616313,314.72648873,303.55041188,277.80655767,233.41686256,170.79076514,179.0590468399285,220.06465417327757,2259.2366064,91.95893376000004,91.95893376000004,2.543864059999976
0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,277.97454581936205,305.29886530740754,0.0,447.11323311,6193.568441829999,-40.0
1,0.1,276.52368153,275.26628946,274.31865068,273.69387853,273.33085567,273.14345833,273.05685289,273.0208928,273.0079738,273.00613157,273.0144921,273.04497228,273.13394271,273.36873145,273.9313599,275.14816955,277.50522941,281.56177001,287.71462524,295.87865447,135.35440925203872,323.3361736527817,447.11323311,448.17811714999993,5746.455208719999,-39.85654167000001
