,t,x1,x2,u,ctg
10,1,-2.72871412,-3.76486752,-11.76686454,22.3124037
0,0,0,-1,0,59.92238942
1,0.1,-0.142405439,-1.834207627,-9.766130657,58.92238942
2,0.2,-0.356287495,-2.433447829,-8.131222578,55.06090595
3,0.3,-0.650191938,-3.428066817,-12.88523432,48.68171293
4,0.4,-0.881647372,-1.237544489,19.59066893,35.67717496
5,0.5,-1.047147306,-2.058769376,-9.867248201,31.44938496
6,0.6,-1.169889047,-0.42331842,15.12709215,25.6275232
7,0.7,-1.266491527,-1.490940452,-11.64224513,22.93553975
8,0.8,-1.398894228,-1.162585242,1.959525089,18.43092617
9,0.9,-1.574113481,-2.322471588,-13.35105598,15.10321797
10,1,-1.778040301,-1.765348665,3.531961025,6.340256964
0,0,0,-1,0,108.5632414
1,0.1,-0.107015724,-1.138014623,-2.450303473,107.5632414
2,0.2,-0.249728136,-1.70675616,-7.114539484,106.2266918
3,0.3,-0.479768557,-2.874591581,-13.97875842,102.9982277
4,0.4,-0.657517204,-0.71634613,19.80496804,93.52774463
5,0.5,-0.766025341,-1.441728911,-8.338909183,90.62108019
6,0.6,-0.981600796,-2.846373349,-16.20219893,87.60801608
7,0.7,-1.31927205,-3.889666417,-13.80964323,77.23007847
8,0.8,-1.65803249,-2.90200073,6.489052474,59.40656366
9,0.9,-2.000739339,-3.934923741,-13.75629861,48.02534467
10,1,-2.427754254,-4.594385358,-10.86476531,27.59258316
0,0,0,-1,-0.489787455,461.8946447
1,0.1,-0.157034258,-2.121988477,-12.79022736,451.8826501
2,0.2,-0.294152701,-0.644992868,13.39877167,398.4282058
3,0.3,-0.273188457,1.036261506,17.02218617,384.4264356
4,0.4,-0.214064193,0.160812175,-8.163250668,358.453996
5,0.5,-0.229207133,-0.453435217,-6.293903316,354.4052226
6,0.6,-0.220005272,0.619591624,10.82228702,349.8431676
7,0.7,-0.139804446,0.978445006,4.390542084,339.6641118
8,0.8,0.039428101,2.579525696,17.80313237,328.9312697
9,0.9,0.361556058,3.841995776,15.84598036,246.5286196
10,1,0.692094842,2.786370733,-7.250862582,85.05732172
0,0,0,-1,-0.488916601,102.2457996
1,0.1,-0.026828892,0.43943556,14.12606668,92.23384759
2,0.2,-0.018390428,-0.259027165,-6.900242604,80.31832559
3,0.3,-0.029126354,0.039336743,2.876279818,77.26332539
4,0.4,-0.009992759,0.338352387,3.181492386,76.82571887
5,0.5,-0.03046585,-0.730011112,-10.8883659,75.17380225
6,0.6,-0.112438263,-0.906496226,-2.584575274,63.90753275
7,0.7,-0.15981335,-0.055191552,8.039295879,55.22975357
8,0.8,-0.08643798,1.496836135,16.25403057,51.71237552
9,0.9,-0.025244831,-0.243964657,-16.79607644,16.02280063
10,1,-0.027485699,0.191884363,4.336081529,1.315830876
0,0,0,-1,-0.481201203,613.8828538
1,0.1,-0.024074406,0.493622323,14.69547917,603.871276
2,0.2,0.039627891,0.775722727,3.45802701,590.6309949
3,0.3,0.086569136,0.173143491,-5.556379904,583.9999362
4,0.4,0.156098661,1.200330087,10.96716121,582.0815394
5,0.5,0.259919135,0.881394096,-2.151155172,561.4160171
6,0.6,0.295642107,-0.14975175,-9.954228738,552.7405086
7,0.7,0.358681335,1.384962012,15.9775299,546.6878767
8,0.8,0.557997752,2.581428534,13.95782939,513.4560828
9,0.9,0.87233932,3.686980051,14.19893085,433.9636851
10,1,1.306908402,4.982808039,17.3039707,280.3352254
0,0,0,-1,-0.491841085,339.54007
