,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,372.99997461958776,372.9999414651262,0.0,368.7879,1213.3093,-40.0
21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,0.1,355.9583,339.696,324.8873,312.0201,301.3574,292.9443,286.6547,282.2609,279.5107,278.1944,278.1944,279.5107,282.2609,286.6547,292.9443,301.3574,312.0201,324.8873,339.696,355.9582,281.6446263707735,372.9998925019,368.7879,148.02490000000006,844.5213999999999,-20.0557
22,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,0.2,285.2916,288.5381,291.0657,292.6985,293.4322,293.425,292.9607,292.3958,292.1054,292.4396,293.6939,296.0949,299.7967,304.882,311.3666,319.2026,328.2818,338.4387,349.4562,361.0739,280.2299851880843,372.9998982371138,516.8128,65.0729,696.4964999999999,-19.57499999999999
23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,0.3,282.318,284.3521,286.2916,288.1204,289.8542,291.544,293.2735,295.1538,297.3136,299.8879,303.0065,306.7829,311.305,316.6276,322.7678,329.7033,337.3726,345.678,354.4901,363.6547,371.6241809810562,372.9999251295852,581.8857,31.3682,631.4235999999999,-21.456000000000017
24,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,0.4,358.0425,345.1907,333.7044,324.0521,316.4994,311.113,307.7973,306.3495,306.5171,308.0456,310.7095,314.3264,318.7566,323.8949,329.6579,335.9724,342.7651,349.9569,357.4594,365.1754,275.9125675182139,273.9831979678424,613.2539,20.9674,600.0553999999998,-1.8870000000000005
25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,0.5,283.4855,290.6001,296.882,302.1025,306.2042,309.2867,311.5595,313.2771,314.6707,315.8916,316.9727,317.8126,318.1839,317.7644,316.1898,313.1232,308.3314,301.7545,293.5508,284.104,173.00039247587273,173.00024061937867,634.2213,91.41089999999996,579.0879999999999,-3.713300000000004
26,26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,0.6,195.6021,217.2761,237.2114,254.8031,269.6968,281.7811,291.1381,297.9656,302.4928,304.9055,305.2923,303.6178,299.7263,293.3749,284.2922,272.2576,257.1865,239.2079,218.7115,196.352,280.06115989649294,372.9999302817743,725.6322,263.23040000000003,487.6770999999999,-31.21890000000002
27,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,0.7,278.0762,276.5247,275.7461,275.9164,277.0206,278.8695,281.1567,283.5369,285.712,287.5076,288.93,290.1969,291.7341,294.135,298.0794,304.2167,313.0301,324.7074,339.0513,355.4612,333.99576345885424,372.9997930819903,988.8626,140.8931999999999,224.44669999999985,-34.130499999999984
28,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,0.8,324.8249,316.1515,308.4091,301.9189,296.8656,293.3023,291.1777,290.3776,290.7691,292.2365,294.7049,298.1472,302.5779,308.0354,314.5579,322.1589,330.8055,340.4036,350.7919,361.7476,253.1375266195592,372.999961304669,1129.7558,53.39790000000016,83.55349999999999,-19.6977
29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,0.9,261.1107,268.6641,275.4538,281.2689,286.058,289.9224,293.082,295.8263,298.4645,301.284,304.5236,308.3604,312.9083,318.2233,324.3113,331.137,338.6302,346.6927,355.2033,364.0228,346.4989501398471,372.9999619517181,1183.1537,30.155599999999826,30.155599999999826,-23.07760000000001
