,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
20,20,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,471.0,472.0,0.0,351.8481,1460.7811,0.4091999999999984
21,21,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,0.1,427.0473,391.3208,362.1349,338.5395,319.8887,305.6175,295.1577,287.9432,283.4643,281.3342,281.3448,283.4981,288.0058,295.2585,305.7697,320.1088,338.8477,362.5556,391.8848,427.7969,315.0,274.0,351.8481,112.3256,1108.933,0.4091999999999984
22,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,0.2,312.8697,311.2807,309.7644,308.0221,305.9475,303.6104,301.2101,299.008,297.2566,296.1357,295.7047,295.8766,296.416,296.9635,297.0852,296.3446,294.3865,291.0196,286.2775,280.4398,234.0,275.0,464.1737,176.0451,996.6074,0.4091999999999984
23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,0.3,245.836,256.5874,265.9246,273.651,279.7188,284.2157,287.3291,289.3003,290.3804,290.7946,290.721,290.2824,289.5496,288.5529,287.2975,285.7801,284.0026,281.9837,279.7643,277.4085,473.0,311.0,640.2188,249.50850000000003,820.5622999999999,0.4091999999999984
24,24,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,,,,,,,,,,,,,,,,,,,,,,0.4,429.1443,393.7335,365.0897,342.2504,324.5198,311.2402,301.7096,295.1926,290.9755,288.4278,287.0487,286.4874,286.5398,287.1268,288.2623,290.0179,292.4881,295.7633,299.9125,304.9807,174.0,429.0,889.7273,187.26389999999992,571.0537999999999,0.4091999999999984
25,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,0.5,200.5336,224.5482,245.0376,261.4441,273.6955,282.1428,287.4379,290.3948,291.8709,292.6855,293.5803,295.214,298.1762,303.0063,310.2051,320.2379,333.5359,350.5123,371.6166,397.4542,471.0,407.0,1076.9912,119.18489999999996,383.7899,0.4091999999999984
26,26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,0.6,426.6824,390.7959,361.8462,339.0164,321.7074,309.3102,301.1374,296.4544,294.5542,294.8301,296.8235,300.2389,304.9319,310.8845,318.1798,326.9858,337.5551,350.2413,365.5353,384.1264,172.0,473.0,1196.1761,66.35820000000012,264.605,0.4091999999999984
27,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,,,,,,,,,,,,,,,,,,,,,,0.7,198.9321,223.3832,244.395,261.456,274.5376,284.0306,290.6195,295.1405,298.4564,301.3716,304.5887,308.704,314.2274,321.6157,331.3084,343.7646,359.5052,379.1759,403.6546,434.2411,473.0,338.0,1262.5343,62.9674,198.2467999999999,0.4091999999999984
28,28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,,,,,,0.8,428.5072,392.6199,363.8304,341.3196,324.4842,312.7,305.2472,301.3353,300.1707,301.0229,303.2651,306.3843,309.9707,313.7016,317.3338,320.7132,323.7997,326.7,329.6951,333.2503,172.0,471.0,1325.5017,70.55919999999992,135.2793999999999,0.4091999999999984
29,29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,0.9,199.3683,224.2383,245.6364,263.0363,276.3931,286.0774,292.7495,297.218,300.3207,302.8457,305.4975,308.8998,313.6194,320.1972,329.1722,341.0994,356.5681,376.2431,400.9584,431.9078,473.0,301.0,1396.0609,64.72019999999998,64.72019999999998,0.4091999999999984
