,Unnamed: 0,Unnamed: 0.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
2182,2182.0,2.0,0.2,388.9265,366.4859,347.805,332.1874,319.1292,308.2354,299.1739,291.6581,285.4465,280.355,276.2739,273.183,271.1577,270.3601,271.01,273.3374,277.5234,283.6439,291.6343,301.2895,174.7322379881649,245.99917298472923,957.1626,363.27560000000005,2692.3668,-4.764599999999973
2183,2183.0,3.0,0.3,199.7058,222.2831,241.5395,256.9436,268.3922,276.1572,280.7758,282.9217,283.2855,282.4832,280.9973,279.1516,277.1109,274.902,272.4481,269.6126,266.2447,262.2231,257.4874,252.052,365.8932901636898,243.3726212277131,1320.4382,439.35030000000006,2329.0912,-36.84280000000001
2184,2184.0,4.0,0.4,345.2382,327.6303,313.0323,301.3918,292.539,286.1538,281.7909,278.9384,277.0866,275.7821,274.6607,273.4548,271.9838,270.1344,267.8394,265.0605,261.7751,257.9699,253.637,248.7718,408.5912756822518,283.154306578998,1759.7885,405.5167999999999,1889.7409,-26.84620000000001
2185,2185.0,5.0,0.5,382.1951,360.2987,342.0626,326.9266,314.4738,304.3516,296.2323,289.8023,284.7663,280.8612,277.8698,275.6309,274.0437,273.063,272.6866,272.9354,273.8296,275.3656,277.4987,280.1381,215.6133539974876,397.0120936385011,2165.3053,295.8753999999999,1484.2241,-8.648399999999981
2186,2186.0,6.0,0.6,232.3476,247.3764,260.0616,270.0401,277.2546,281.924,284.4747,285.4585,285.4779,285.1344,285.0012,285.6171,287.4908,291.105,296.9116,305.3174,316.6674,331.2402,349.2748,371.0471,277.3462090849546,231.54434819577725,2461.1807,239.1573000000003,1188.3487,-31.076000000000025
2187,2187.0,7.0,0.7,276.552,275.9855,275.7536,275.9158,276.4782,277.3989,278.6032,279.9977,281.4788,282.9285,284.2009,285.1029,285.379,284.7102,282.7342,279.0911,273.4886,265.7741,255.995,244.4255,330.95015367185755,290.8863933786309,2700.338,325.6738999999998,949.1913999999996,-35.601099999999974
2188,2188.0,8.0,0.8,319.7681,310.1881,302.1711,295.6692,290.5922,286.7946,284.0826,282.2337,281.023,280.2481,279.7512,279.4332,279.2594,279.2569,279.5021,280.0995,281.1556,282.7517,284.9238,287.6553,283.80208532988934,265.51262058885777,3026.0119,317.5574999999999,623.5174999999999,-26.2054
2189,2189.0,9.0,0.9,284.12,284.4896,284.7513,284.799,284.5876,284.1279,283.472,282.6923,281.8613,281.0346,280.2407,279.4762,278.7074,277.8763,276.9103,275.7353,274.2884,272.5314,270.4586,268.0995,303.63548761327627,394.9362440048362,3343.5694,305.96000000000004,305.96000000000004,-28.87209999999999
2190,2190.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,420.6478485440831,351.7437083744064,0.0,380.6206,2187.4296,12.394000000000004
2191,2191.0,1.0,0.1,388.8866,362.4361,340.5189,322.6624,308.4893,297.6088,289.586,283.9606,280.2924,278.2092,277.4448,277.8579,279.4323,282.2593,286.5057,292.3744,300.063,309.7342,321.5051,335.4677,418.4824495972997,316.7462034621836,380.6206,228.029,1806.809,12.394000000000004
2192,2192.0,2.0,0.2,391.5757,369.5641,351.3661,336.2661,323.7768,313.5543,305.3429,298.9399,294.1724,290.8837,288.9239,288.1462,288.406,289.5634,291.4914,294.086,297.2809,301.0617,305.4769,310.6437,376.6390066525968,384.602884026928,608.6496,176.6128,1578.7799999999995,12.394000000000004
2193,2193.0,3.0,0.3,360.927,348.0859,337.4231,328.4392,320.7916,314.2646,308.7429,304.1864,300.61,298.0702,296.6583,296.4981,297.7471,300.5933,305.2497,311.9429,320.9026,332.3597,346.5621,363.8222,278.96775127633765,222.07011440011627,785.2624,122.957,1402.1672,12.394000000000004
2194,2194.0,4.0,0.4,283.8832,288.4985,292.4595,295.5381,297.652,298.8531,299.2908,299.1619,298.655,297.8998,296.9277,295.6465,293.8345,291.1566,287.2038,281.5567,273.8646,263.9283,251.7671,237.6493,229.9908691404681,216.75129127497183,908.2194,274.42970000000014,1279.2102,12.394000000000004
2195,2195.0,5.0,0.5,241.4488,251.8749,261.0182,268.7172,274.9099,279.624,282.952,285.0197,285.9556,285.8658,284.8184,282.8378,279.907,275.9777,270.9841,264.86,257.555,249.0494,239.3637,228.5627,315.050963987693,425.60564414354,1182.6491,360.6061,1004.7804999999998,12.394000000000004
2196,2196.0,6.0,0.6,306.526,299.1996,293.1413,288.3653,284.8045,282.3145,280.7034,279.7792,279.4029,279.5391,280.2941,281.9379,284.9023,289.7519,297.1297,307.6822,321.9871,340.5099,363.6287,391.7585,459.51692232489467,421.7151856981436,1543.2552,161.5381,644.1743999999999,12.394000000000004
2197,2197.0,7.0,0.7,419.9591,387.8634,361.7167,340.6346,324.0197,311.3783,302.2427,296.1593,292.7107,291.546,292.4054,295.1296,299.6572,306.0137,314.3002,324.6876,337.4238,352.8586,371.494,394.0712,435.25989545270215,198.98386974541188,1704.7933,140.30989999999997,482.6362999999999,12.394000000000004
2198,2198.0,8.0,0.8,406.1348,382.7822,363.8099,348.3004,335.6371,325.394,317.2567,310.9611,306.2411,302.7856,300.2039,298.0033,295.5833,292.2541,287.2841,279.977,269.7735,256.3606,239.7635,220.3871,200.1059609565294,450.3763340212176,1845.1032,197.8553,342.3263999999999,12.394000000000004
2199,2199.0,9.0,0.9,222.5814,242.9311,260.3068,274.2203,284.5727,291.6072,295.8169,297.8424,298.3873,298.1671,297.8926,298.2788,300.0602,303.997,310.8571,321.3754,336.2076,355.9113,381.0003,412.1174,211.54398260967668,243.21213424816565,2042.9585,144.47109999999998,144.47109999999998,12.394000000000004
2200,2200.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,274.170185771073,339.8672432328216,0.0,418.0205,4321.6077,-40.0
2201,2201.0,1.0,0.1,273.9389,273.736,273.5647,273.4287,273.3328,273.2851,273.3003,273.405,273.6444,274.0893,274.8438,276.0506,277.8914,280.5807,284.3511,289.4315,296.0222,304.2759,314.2916,326.1322,275.0709039211538,250.8225023457368,418.0205,354.9583999999999,3903.5872,-39.7149
2202,2202.0,2.0,0.2,274.7726,274.5321,274.3639,274.2832,274.3061,274.448,274.7208,275.1291,275.6621,276.2855,276.9307,277.4865,277.7959,277.6608,276.8594,275.1753,272.4355,268.5491,263.5379,257.5457,300.08057268079074,322.3839375167788,772.9789,380.9557000000001,3548.6287999999995,-38.55200000000002
2203,2203.0,3.0,0.3,294.8805,290.3606,286.536,283.4064,280.9456,279.0996,277.7943,276.9481,276.4886,276.369,276.5824,277.172,278.2351,279.9174,282.399,285.8703,290.5035,296.4266,303.7089,312.3652,466.1735481400111,211.47370453774263,1153.9346,339.4375,3167.6730999999995,-33.90039999999999
2204,2204.0,4.0,0.4,424.3975,390.5014,362.8424,340.4637,322.7037,308.9865,298.7283,291.3171,286.1282,282.5488,279.9939,277.9103,275.7732,273.0829,269.3728,264.2328,257.347,248.5386,237.8055,225.3335,176.06189917754887,330.75873112843885,1493.3721,363.9360999999999,2828.2355999999995,-4.013500000000022
2205,2205.0,5.0,0.5,201.7372,224.9174,244.5978,260.2065,271.6394,279.1984,283.4707,285.1925,285.1314,284.0064,282.4507,281.008,280.1491,280.2911,281.8052,285.007,290.1327,297.3111,306.5502,317.751,199.9123205636243,204.44708242929292,1857.3082,422.21079999999984,2464.2995,-33.80160000000001
2206,2206.0,6.0,0.6,212.887,224.723,235.3385,244.6779,252.7171,259.4655,264.9652,269.2842,272.5016,274.6865,275.8724,276.0326,275.0631,272.7811,268.9433,263.2863,255.586,245.7219,233.7328,219.8427,317.6151159322723,198.61626239114403,2279.519,619.2589000000003,2042.0887,-53.53449999999998
2207,2207.0,7.0,0.7,305.8897,295.6126,287.009,280.2063,275.185,271.7693,269.6527,268.4458,267.7281,267.0922,266.1732,264.6616,262.3053,258.9049,254.3081,248.4063,241.1342,232.4716,222.444,211.1223,217.50361430582112,419.680728479382,2898.7779,595.1574999999998,1422.8297999999995,-41.23070000000001
2208,2208.0,8.0,0.8,228.817,238.8941,247.4478,254.3207,259.5036,263.1261,265.4279,266.7278,267.3992,267.8617,268.5877,270.1151,273.0543,278.0758,285.8718,297.0935,312.2838,331.8375,356.0266,385.1282,234.2826556751623,294.9425891274107,3493.9354,418.1378,827.6722999999997,-49.87389999999999
