,mpc_x_0,mpc_x_1,mpc_x_2,mpc_x_3,u_0,u_1,ctg
17,1.4493720334892237e+19,-1.0947434987859173e+19,7.62724705255152e+18,7.41904365080765e+18,1.4936170569765896e+19,1.864344036797913e+18,1.0133779016432484e+21
18,1.8182546589475226e+19,-1.0212807190601069e+19,4.5419301338697513e+18,1.4707641073272734e+19,1.5257005227326499e+19,1.443260792860989e+18,9.847339213269112e+20
19,1.9359556138690052e+19,-9.008540350427234e+18,2.3772737049597696e+18,1.847206101002794e+19,1.579479204930317e+19,1.1205196203100847e+18,9.52561325823208e+20
20,1.88634046863163e+19,-8.467279438751988e+18,9.029019652785389e+17,1.7791626672572269e+19,1.7504862789854773e+19,7.811214383449856e+17,9.19494954386349e+20
21,1.69180221848066e+19,-7.404632284356549e+18,-7.492974578622172e+17,1.8337758718044248e+19,-1.8189181527554871e+19,8.38755541295298e+17,8.873393558907895e+20
22,1.578079932549523e+19,-4.083936821308735e+18,-1.1973348430755016e+18,2.029465163190201e+19,1.6777556784775856e+19,5.0514347141024896e+17,8.561205320338296e+20
23,1.1129309426492547e+19,7.856958467046858e+17,-4.250550289587736e+18,2.0275572760779473e+19,1.6001637829353015e+19,-5.542341076835136e+16,8.268008205948458e+20
24,5.173007596028209e+18,2.622764083270966e+18,-4.803766630169563e+18,1.2401640911514147e+19,1.4434157199283757e+19,-2.968949991561048e+17,8.005517258130029e+20
25,3.3086014676251965e+18,-4.444965717104109e+18,1.7552710891779164e+18,-3.48194565302822e+18,1.5964849761039122e+19,7.009579789015475e+17,7.806856101032915e+20
26,7.159429747805713e+18,-8.851155950912113e+18,6.472534662403662e+18,-3.081171701451488e+18,1.4955156926969104e+19,1.563211240810073e+18,7.658573142698535e+20
27,1.222913074971998e+19,-1.1945611815977507e+19,6.430500447430928e+18,2.636340643882854e+18,-1.7248395743782502e+19,1.6451944922973588e+18,7.448159841546775e+20
28,1.7676158850125394e+19,-1.051962465626903e+19,5.327754393610754e+18,1.347670325069877e+19,1.4606516783961018e+19,1.733398690568537e+18,7.187483972081319e+20
29,1.96144105524074e+19,-9.7922849313261e+18,3.1252560073031946e+18,1.7728419559507704e+19,1.5274493232146244e+19,1.264646698858642e+18,6.870783188955152e+20
30,1.9603947303919817e+19,-8.387609070437936e+18,1.307615621262475e+18,1.9902687697948238e+19,1.395929614634235e+19,9.726520335240456e+17,6.536785634047406e+20
31,1.8951918115139547e+19,-8.708652655276407e+18,1.2588809550925955e+18,1.8020725554097103e+19,1.2938647935440024e+19,9.654425301534863e+17,6.216116594680231e+20
32,1.916522782889861e+19,-9.61809959830337e+18,1.9758621962051272e+18,1.6343657183733266e+19,1.8102779685145584e+19,6.339151746754414e+17,5.911895255954235e+20
33,1.952789955451477e+19,-9.470301693060024e+18,2.4393285844107694e+18,1.7630549075943817e+19,1.8251445785156768e+19,1.1870022198615498e+18,5.582697547619428e+20
34,1.9004057497967837e+19,-8.077525866052479e+18,1.0525804308513285e+18,1.9428817707656495e+19,1.3944471415023266e+19,1.2653417312274289e+18,5.2401649130546895e+20
35,1.7285507098376765e+19,-5.213070167225551e+18,-8.14752808793751e+17,2.124592007725322e+19,1.3877823509245534e+19,4.61776563006178e+17,4.926300939810796e+20
36,1.3431348764529918e+19,-6.19306880308896e+17,-3.5065925264130703e+18,2.212746963709515e+19,1.5846093957301215e+19,-2.193085174796933e+17,4.631806688691291e+20
37,6.73292957300388e+18,4.652767804971454e+18,-6.939959251644232e+18,1.8675504495695258e+19,1.5802504318987629e+19,-1.2144681994707697e+18,4.353056087275651e+20
38,-1.2199919682040061e+18,8.90582784123804e+18,-7.657579065506277e+18,1.176273122840996e+19,1.6881719606901805e+19,-1.508297742389443e+18,4.082965419056785e+20
39,-9.328345610176786e+18,1.2272665385698075e+19,-7.925880400566667e+18,3.344234068957751e+18,1.3852733827522312e+19,-1.4390875647161943e+18,3.843284681793537e+20
40,-1.514113269225994e+19,1.1042395157915935e+19,-4.851334806398381e+18,-9.328912716380553e+18,1.441005054571082e+19,-1.3761543212453238e+18,3.6024699475053484e+20
41,-1.7873580235307334e+19,1.1017778355967463e+19,-2.5116659653514644e+18,-1.3606090739543644e+19,1.42886894113775e+19,-1.1284448162764248e+18,3.321720046305794e+20
42,-1.924086294547319e+19,1.0873351224032735e+19,-1.5094994777179133e+18,-1.610371248441899e+19,1.4111527780988944e+19,-1.0187706255404337e+18,3.019588798686675e+20
43,-1.9249108977354355e+19,9.274152875362419e+18,-1.765132701781417e+17,-1.934857348151491e+19,1.881391574673939e+19,-1.2446858451020628e+18,2.705300175995814e+20
44,-1.8462171307074953e+19,8.809843350591181e+18,7.412603260068306e+17,-1.7986276010701386e+19,1.5119733057705329e+19,-6.295475218358488e+17,2.3647654250145576e+20
45,-1.8296509611123192e+19,8.523376599609191e+18,-7.368271597389567e+17,-1.6723845456294519e+19,-1.5379707203838867e+19,-8.911371728753651e+17,2.05602126714498e+20
46,-1.7722461508107293e+19,1.012764052349281e+19,-1.3681133965721416e+18,-1.4735562259102835e+19,1.5714540002964455e+19,-9.608598931208099e+17,1.7532642511275796e+20
47,-1.869152876549967e+19,1.07787816802577e+19,-1.363240743539204e+18,-1.5224218864536365e+19,1.4961593113011474e+19,-1.0112399233257275e+18,1.4501183632107779e+20
48,-1.9872039367677874e+19,1.2395391831569494e+19,-1.9742353220300613e+18,-1.4555061604732998e+19,1.7069111321258312e+19,-1.1718931959709542e+18,1.1399653477599271e+20
49,-2.34223664918353e+19,1.5045386809985876e+19,-5.201647997252233e+18,-1.4694536974261142e+19,-1.6472902247319566e+19,-1.5848980790306778e+18,8.047766845437287e+19
50,-2.6668680774405317e+19,1.8431060601437696e+19,-5.54905041715503e+18,-1.635866863966512e+19,1.5963492941587456e+19,-1.5626449348103194e+18,4.226679915453047e+19
