,mpc_x_0,mpc_x_1,mpc_x_2,mpc_x_3,u_0,u_1,ctg
80,-722166.676068496,6879672.927647249,-2905581.981544009,13309503.1502787,9.209996865925853e-08,-586930.2700703411,279878039.99423075
81,-602388.7060308116,9038698.201021327,-3185490.1894809827,17878002.811393805,-7.65220158564792e-08,-409004.0420446086,267676112.4914263
82,-832392.9820075663,7966852.372961855,-2733993.0769036957,15843887.968339555,-4.457917376398201e-08,-352784.33279717294,252119320.51644048
83,-538976.8549360585,9280087.335737167,-3223923.3760093735,18374754.53745238,-1.1883999674625012e-07,-294496.06594795006,238254365.14993554
84,-350650.46319765516,7780437.443609137,-2332357.460727969,15970707.332628945,6.507862681042764e-08,-77307.25295243968,222398246.06489402
85,-607746.3278194112,7008341.936007481,-2552931.095195554,13868043.443505712,-1.0441110623833136e-07,-292833.1322957351,209142516.0883359
86,-733945.9026429523,9364283.833050534,-3483156.9179451,18517693.90511512,-1.204864422373373e-07,-575346.3025060607,196977568.1209239
87,-587620.7992506818,8780595.815887848,-2863999.0785168307,17899015.24840287,-8.060139716484048e-08,-273251.6830359876,180640354.69029397
88,-788541.0517318597,9817423.399734683,-3692963.8944044514,19071410.96867578,1.2333591449537906e-07,-443705.49081740755,165438113.37774682
89,-819407.9061372756,7855839.8517296845,-2461424.62129322,15759889.336684238,-3.3776693025408404e-08,-226593.37904216204,148531090.97506467
90,-1418201.2989675924,9858322.761335965,-4097899.9023204953,18057304.473891668,9.502063966582775e-08,-708766.1967327236,134969513.42762136
91,-711562.5963577782,7655428.862933888,-1858921.5805893685,15993386.719610669,6.57560502638047e-08,-76204.05126799588,117899266.11099711
92,-1135031.9133581484,9095094.703135267,-3840953.365299276,16528516.027531996,-1.2250877546726412e-07,-509234.7916226584,104751514.20561723
93,-155573.2176456399,10989017.414259408,-2999046.784092385,22747138.826168876,-1.3027996129071882e-07,-124789.58248420488,89197098.8051435
94,-594454.4955918345,9064676.206598107,-3155225.6524996753,18778599.918056943,8.648672576128574e-08,-420705.42645773577,70689315.89281818
95,-640815.8962320633,9131018.390085211,-3405410.189472936,17824379.21236407,1.357543046839011e-07,-269443.3238770334,54682485.04321599
96,-913993.2059019817,9539121.61716751,-3385790.2479673075,17902274.222780343,-9.874444080687176e-08,-286035.7719420937,39046951.537200265
97,816749.8792412257,-1541485.4397901196,2718551.230621205,2.208559239719602e-09,-3.294225563565736e-08,1222891.057225376,23033344.0043206
98,-2567715.290407359,6864501.309521759,-5887505.700304298,5923111.655862127,7.973863047394353e-08,-1350244.5300454572,19883505.20088162
99,-36976.479395739465,3017466.974978008,2372292.6510647596,9133368.162129587,-2.869511377065606e-08,612488.5605438388,8586965.95781108
100,260803.60634946538,-671632.2374154234,-150500.2772140387,-744059.9120469218,-4.34224538788581e-08,174343.05448430832,1000669.5437551005
