,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
1972,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,1972.0,2.0,0.2,236.7501,249.09,259.4603,267.5694,273.3717,277.0433,278.9245,279.4505,279.0892,278.2991,277.5104,277.1247,277.5241,279.0777,282.1359,287.0114,293.95,303.1033,314.5203,328.1698,410.1165983168585,336.639708654475,838.6167,293.8053,1885.8677,-18.1567
1973,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,1973.0,3.0,0.3,380.4469,355.6512,335.1744,318.6754,305.8394,296.2899,289.5766,285.2119,282.726,281.7162,281.8775,283.0106,285.0116,287.8514,291.553,296.1724,301.7882,308.4982,316.4257,325.7327,218.55605269631693,431.8837467351465,1132.422,179.84199999999987,1592.0623999999998,-0.1600999999999999
1974,1974.0,1974.0,1974.0,1974.0,1974.0,1974.0,1974.0,1974.0,1974.0,4.0,0.4,234.0914,248.0579,259.9079,269.3486,276.3706,281.2198,284.3308,286.2463,287.5444,288.7882,290.5002,293.1598,297.2133,303.0868,311.1951,321.9455,335.7433,353.0138,374.2601,400.1814,261.04780842389016,294.41458900278235,1312.264,155.058,1412.2204,-16.58019999999999
1975,1975.0,1975.0,1975.0,1975.0,1975.0,1975.0,1975.0,1975.0,1975.0,5.0,0.5,263.5934,266.0202,268.4287,270.8894,273.441,276.0958,278.8503,281.6938,284.6113,287.5783,290.5488,293.4405,296.1246,298.4278,300.1506,301.1042,301.1599,300.3014,298.6649,296.5531,244.67576078727416,298.81412007641256,1467.322,237.1471000000001,1257.1624,-23.154200000000003
1976,1976.0,1976.0,1976.0,1976.0,1976.0,1976.0,1976.0,1976.0,1976.0,6.0,0.6,250.6437,256.0818,260.9854,265.366,269.2534,272.6923,275.7363,278.4397,280.8506,283.0067,284.9348,286.6529,288.1758,289.5218,290.719,291.812,292.8659,293.969,295.234,296.7965,333.17151216574734,428.2204394260592,1704.4691,248.11639999999989,1020.0152999999998,-28.107700000000023
1977,1977.0,1977.0,1977.0,1977.0,1977.0,1977.0,1977.0,1977.0,1977.0,7.0,0.7,320.541,309.6969,300.6955,293.5623,288.2499,284.6281,282.5048,281.6655,281.9211,283.1524,285.3444,288.6051,293.1676,299.3752,307.6505,318.4578,332.2688,349.553,370.8149,396.7029,221.5902005120928,263.0243938682358,1952.5855,159.6405000000002,771.8988999999999,-17.82189999999997
1978,1978.0,1978.0,1978.0,1978.0,1978.0,1978.0,1978.0,1978.0,1978.0,8.0,0.8,234.1576,245.5078,255.3444,263.5239,270.0737,275.1721,279.101,282.1844,284.7259,286.9556,288.9916,290.8207,292.2979,293.1686,293.1104,291.7951,288.9617,284.4889,278.4505,271.136,340.6008308335018,236.2823142862689,2112.226,290.0600999999997,612.2583999999997,-29.02789999999999
1979,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0,1979.0,9.0,0.9,326.2991,314.0719,303.9767,296.0279,290.1388,286.1036,283.6145,282.2983,281.7589,281.6123,281.5075,281.1358,280.2296,278.5603,275.9378,272.2155,267.3006,261.1661,253.8594,245.5028,232.56904144213573,394.5931122215736,2402.2861,322.1983,322.1983,-19.94640000000004
1980,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,1980.0,0.0,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,244.63925758805703,194.13778725612104,0.0,505.7021,2858.3055,-20.0
1981,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1981.0,1.0,0.1,250.2005,255.1531,259.4248,262.9781,265.8159,267.9763,269.5188,270.5051,270.9776,270.9402,270.3417,269.0668,266.935,263.711,259.1281,252.9241,244.8868,234.8999,222.9805,209.2936,411.0331502677769,410.6173919247233,505.7021,521.7908,2352.6034,-26.07370000000003
1982,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,1982.0,2.0,0.2,380.5223,354.8912,333.5496,316.1373,302.3305,291.7488,283.9417,278.4298,274.7742,272.6491,271.8997,272.5762,274.935,279.4065,286.5308,296.8709,310.9238,329.0613,351.5347,378.5761,258.6525257695357,212.8312938495112,1027.4929,266.21140000000014,1830.8126,-3.451199999999972
1983,1983.0,1983.0,1983.0,1983.0,1983.0,1983.0,1983.0,1983.0,1983.0,3.0,0.3,265.7536,272.0803,277.2445,281.0306,283.4203,284.5741,284.7778,284.3699,283.6661,282.8924,282.1353,281.314,280.1765,278.3235,275.2599,270.4725,263.5251,254.1562,242.3566,228.4032,384.51197144942114,359.4005216830004,1293.7043,332.7507999999998,1564.6011999999998,-11.8759
1984,1984.0,1984.0,1984.0,1984.0,1984.0,1984.0,1984.0,1984.0,1984.0,4.0,0.4,361.9884,343.0649,327.357,314.59,304.4913,296.7428,290.9816,286.8326,283.9548,282.0892,281.0941,280.9664,281.8423,283.9778,287.7094,293.3984,301.3692,311.8592,324.9971,340.8294,273.2722824337371,418.7084968886607,1626.4551,183.9968000000001,1231.8504,-1.057200000000023
1985,1985.0,1985.0,1985.0,1985.0,1985.0,1985.0,1985.0,1985.0,1985.0,5.0,0.5,277.5991,281.5421,284.7878,287.1512,288.5986,289.2408,289.3043,289.0919,288.9457,289.2192,290.2619,292.4154,296.0155,301.3947,308.8832,318.8087,331.5013,347.3131,366.6682,390.1584,206.97948826341369,433.61583557350974,1810.4519,130.779,1047.8536,-10.00920000000002
1986,1986.0,1986.0,1986.0,1986.0,1986.0,1986.0,1986.0,1986.0,1986.0,6.0,0.6,221.7714,235.2299,247.0841,257.1977,265.5875,272.414,277.9525,282.556,286.6168,290.5363,294.706,299.4971,305.2606,312.3334,321.0497,331.7587,344.8525,360.8076,380.253,404.0785,273.7958126565176,248.0767695861927,1941.2309,163.19169999999986,917.0746,-28.386000000000024
