,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
2632,2632.0,2632.0,2632.0,2632.0,2632.0,2632.0,2632.0,2632.0,2632.0,2632.0,2632.0,2.0,,,,,0.2,355.8326,344.2271,334.4741,326.1126,318.8818,312.6938,307.597,303.732,301.2905,300.4817,301.5111,304.5723,309.8493,317.5294,327.8236,340.9981,357.4216,377.6361,402.4702,433.2249,199.27272727272728,472.0,452.6591,40.26569999999998,390.1795,5.559900000000027
2633,2633.0,2633.0,2633.0,2633.0,2633.0,2633.0,2633.0,2633.0,2633.0,2633.0,2633.0,3.0,,,,,0.3,219.8031,238.4802,254.686,268.0922,278.6893,286.753,292.7696,297.3463,301.1276,304.7322,308.7155,313.5578,319.6726,327.4301,337.1922,349.3557,364.409,383.0078,406.0853,435.0308,380.06060606060606,473.0,492.9248,47.72000000000003,349.91380000000004,5.559900000000027
2634,2634.0,2634.0,2634.0,2634.0,2634.0,2634.0,2634.0,2634.0,2634.0,2634.0,2634.0,4.0,,,,,0.4,358.2522,340.0866,325.43,314.1929,306.2159,301.2276,298.8612,298.7077,300.3798,303.5668,308.069,313.8113,320.8417,329.3234,339.5298,351.8504,366.8147,385.1444,407.8486,436.3915,375.030303030303,473.0,540.6448,30.243999999999915,302.1938,5.559900000000027
2635,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,2635.0,5.0,,,,,0.5,358.4801,344.9492,333.964,325.2019,318.4385,313.5122,310.3018,308.7137,308.6767,310.1431,313.0949,317.5525,323.5866,331.3333,341.0123,352.9525,367.63,385.7262,408.2244,436.5757,373.0,372.0,570.8888,29.183700000000044,271.9498000000001,5.559900000000027
2636,2636.0,2636.0,2636.0,2636.0,2636.0,2636.0,2636.0,2636.0,2636.0,2636.0,2636.0,6.0,,,,,0.6,357.9426,345.775,335.9876,328.2165,322.1994,317.7442,314.7064,312.9707,312.4356,313.0008,314.5584,316.9875,320.158,323.9428,328.2418,333.0171,338.3335,344.4002,351.6054,360.5379,373.0,371.0,600.0725,49.93709999999999,242.76610000000005,5.559900000000027
2637,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,2637.0,7.0,,,,,0.7,358.2374,346.3417,336.7758,329.1439,323.1481,318.5599,315.2001,312.9266,311.6257,311.2076,311.6053,312.7759,314.7045,317.4099,320.9521,325.4415,331.0488,338.0178,346.6805,357.4794,371.0,374.0,650.0096,61.737300000000005,192.8290000000001,5.559900000000027
2638,2638.0,2638.0,2638.0,2638.0,2638.0,2638.0,2638.0,2638.0,2638.0,2638.0,2638.0,8.0,,,,,0.8,356.6939,345.156,335.8492,328.3747,322.4332,317.7983,314.2997,311.8106,310.2402,309.5288,309.6453,310.5872,312.3814,315.0868,318.7979,323.6505,329.8286,337.5759,347.2132,359.1645,371.0,372.0,711.7469,64.50660000000005,131.09170000000006,5.559900000000027
2639,2639.0,2639.0,2639.0,2639.0,2639.0,2639.0,2639.0,2639.0,2639.0,2639.0,2639.0,9.0,,,,,0.9,356.5714,344.9119,335.486,327.8965,321.845,317.1062,313.5106,310.9331,309.285,308.5089,308.5756,309.4828,311.2552,313.9462,317.6415,322.4652,328.5881,336.2404,345.7292,357.4646,372.0,374.0,776.2535,66.58510000000001,66.58510000000001,5.559900000000027
2640,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,2640.0,0.0,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,472.0,471.0,0.0,352.0918,1178.1511,14.8236
2641,2641.0,2641.0,2641.0,2641.0,2641.0,2641.0,2641.0,2641.0,2641.0,2641.0,1.0,,,,,,0.1,427.7969,391.8848,362.5556,338.8477,320.1088,305.7697,295.2585,288.0058,283.4981,281.3448,281.3342,283.4643,287.9432,295.1577,305.6175,319.8887,338.5395,362.1349,391.3208,427.0473,472.0,471.0,352.0918,135.65800000000002,826.0593,14.8236
2642,2642.0,2642.0,2642.0,2642.0,2642.0,2642.0,2642.0,2642.0,2642.0,2642.0,2.0,,,,,,0.2,433.2019,402.4265,377.5776,357.3592,340.9508,327.8236,317.6322,310.1494,305.2278,302.7781,302.7573,305.1646,310.0407,317.4731,327.6068,340.6662,356.993,377.1106,401.8313,432.437,373.0,373.0,487.7498,86.43789999999996,690.4013,14.8236
2643,2643.0,2643.0,2643.0,2643.0,2643.0,2643.0,2643.0,2643.0,2643.0,2643.0,3.0,,,,,,0.3,360.2494,350.1219,341.8671,334.9539,329.0533,324.0117,319.8102,316.5161,314.2328,313.0562,313.043,314.1942,316.4551,319.7314,323.9217,328.9598,334.8654,341.7919,350.0673,360.2207,374.0,372.0,574.1877,67.87790000000007,603.9634000000001,14.8236
2644,2644.0,2644.0,2644.0,2644.0,2644.0,2644.0,2644.0,2644.0,2644.0,2644.0,4.0,,,,,,0.4,359.4982,347.8659,338.5187,331.0219,325.051,320.3651,316.7883,314.196,312.5037,311.6587,311.6345,312.4274,314.0567,316.5672,320.0356,324.5786,330.3641,337.625,346.6776,357.9461,374.0,374.0,642.0656,67.25879999999995,536.0855,14.8236
