,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
3036,6.0,,,,,,,,,,,,0.6,272.7101,276.9771,281.2305,285.4653,289.6789,293.8706,298.0419,302.196,306.3372,310.4699,314.598,318.7241,322.8493,326.9728,331.0923,335.2047,339.3074,343.3986,347.4786,351.5495,268.43589743589746,357.61538461538464,616.3157,15.57899999999995,66.17089999999996,-19.129399999999976
3037,7.0,,,,,,,,,,,,0.7,272.6628,276.8872,281.1066,285.3189,289.5229,293.7178,297.9037,302.0815,306.2534,310.4225,314.5933,318.7714,322.9637,327.1776,331.4205,335.6988,340.0161,344.3728,348.7646,353.1828,263.3076923076923,357.61538461538464,631.8947,16.262000000000057,50.59190000000001,-19.28219999999999
3038,8.0,,,,,,,,,,,,0.8,268.3908,273.4332,278.4,283.2658,288.0176,292.6543,297.1851,301.6258,305.9958,310.315,314.6016,318.871,323.1353,327.4034,331.6814,335.9727,340.2786,344.5984,348.9301,353.2705,274.56410256410254,348.3589743589744,648.1567,16.272000000000048,34.32989999999995,-20.345700000000026
3039,9.0,,,,,,,,,,,,0.9,277.4717,280.4526,283.5689,286.8635,290.3556,294.0412,297.897,301.8869,305.9678,310.0945,314.2217,318.306,322.3052,326.1795,329.8933,333.4188,336.741,339.8625,342.8068,345.6185,258.1794871794872,365.8717948717949,664.4287,18.057899999999904,18.057899999999904,-18.9588
3040,0.0,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,374.0,372.0,0.0,369.0,666.3536,-40.0
3041,1.0,,,,,,,,,,,,0.1,356.7878,340.3629,325.4059,312.4097,301.6395,293.1407,286.7852,282.3419,279.5544,278.2081,278.1807,279.467,282.1799,286.5242,292.748,301.0754,311.6307,324.3688,339.0292,355.1288,366.8717948717949,365.8717948717949,369.0,151.5996,297.35360000000003,-19.85930000000002
3042,2.0,,,,,,,,,,,,0.2,356.0403,345.4658,335.3968,326.0657,317.6816,310.4244,304.4418,299.8476,296.7238,295.1223,295.0681,296.5615,299.5776,304.065,309.9433,317.1,325.389,334.6313,344.6177,355.1149,260.1794871794872,372.0,520.5996,57.77570000000003,145.75400000000002,-2.5756000000000085
3043,3.0,,,,,,,,,,,,0.3,269.9147,279.0101,286.9347,293.3498,298.149,301.4512,303.5539,304.8657,305.8341,306.8854,308.3836,310.6088,313.7527,317.9242,323.1587,329.4291,336.6545,344.7072,353.4197,362.5919,266.3076923076923,368.8717948717949,578.3753,19.99000000000001,87.97829999999999,-11.548800000000028
3044,4.0,,,,,,,,,,,,0.4,271.5323,276.6581,281.5965,286.2801,290.6698,294.7613,298.5865,302.2117,305.7311,309.2571,312.9086,316.7985,321.0227,325.6515,330.7239,336.2458,342.1921,348.5099,355.1245,361.9454,280.69230769230774,340.2307692307693,598.3653,13.361999999999966,67.98829999999998,-18.238699999999994
3045,5.0,,,,,,,,,,,,0.5,282.8553,285.1033,287.5092,290.125,292.9778,296.0706,299.387,302.8971,306.5619,310.3352,314.1626,317.9787,321.7057,325.2542,328.5306,331.4497,333.9512,336.0167,337.6821,339.0401,270.43589743589746,373.0,611.7273,15.194799999999988,54.626300000000015,-16.929399999999987
