 ,t  ,x0      ,x1      ,x2      ,x3      ,x4      ,x5      ,x6      ,x7      ,x8      ,x9      ,x10     ,x11     ,x12     ,x13     ,x14     ,x15     ,x16     ,x17     ,x18     ,x19     ,u0                ,u1                ,L        ,inst_cost         ,ctg               ,path_diff
0,0.0,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,204.75610030067648,187.79871151386075,0.0      ,532.3321          ,5368.485199999999 ,-20.0
1,0.1,217.9232,229.7813,240.0871,248.7068,255.6276,260.9441,264.8242,267.4659,269.0533,269.7189,269.5165,268.4069,266.2576,262.8576,257.9467,251.2594,242.5777,231.7848,218.9073,204.1335,305.9315712879962 ,219.03399079504598,532.3321 ,721.6579          ,4836.1530999999995,-33.10590000000002
2,0.2,296.7318,288.5948,281.7176,276.2065,272.0416,269.0742,267.0528,265.666 ,264.5888,263.5224,262.2205,260.5029,258.2555,255.4226,251.9925,247.9783,243.3982,238.256 ,232.5268,226.1503,213.8292391104609 ,303.6580563913071 ,1253.99  ,693.6738          ,4114.495199999999 ,-26.12579999999997
3,0.3,225.2766,235.4637,244.1146,251.0763,256.3359,260.0084,262.3058,263.4986,263.8827,263.7572,263.4166,263.1525,263.2582,264.0278,265.7445,268.6558,272.9405,278.6769,285.8242,294.2288,218.95392347750322,195.349740750592  ,1947.6638,696.5705999999998 ,3420.8214         ,-36.441599999999994
4,0.4,226.7657,233.7316,239.8632,245.1802,249.713 ,253.5022,256.5959,259.0424,260.8785,262.1141,262.7142,262.5838,261.5583,259.4077,255.8567,250.6236,243.4727,234.2709,223.034 ,209.9474,178.97573735656727,338.13141509510274,2644.2344,825.6855          ,2724.2508000000003,-44.297800000000024
5,0.5,193.5644,206.7482,218.3599,228.3103,236.5969,243.2995,248.565 ,252.591 ,255.6136,257.9034,259.7695,261.5673,263.7018,266.6193,270.7803,276.6148,284.4679,294.5511,306.9199,321.4947,234.00784284133277,348.78860502778616,3469.9199,713.2271000000001 ,1898.5653000000002,-55.950500000000005
6,0.6,236.4413,238.5196,240.5109,242.6106,244.9314,247.5128,250.3444,253.3968,256.6506,260.1186,263.8575,267.9689,272.5925,277.8935,284.0495,291.2378,299.6292,309.3888,320.6881,333.73  ,234.8542917800822 ,420.2454671862739 ,4183.147 ,522.4582          ,1185.3382000000001,-53.28720000000001
7,0.7,238.8144,242.2712,245.3693,248.2414,251.0081,253.7796,256.6614,259.7612,263.1985,267.1157,271.6875,277.1294,283.7009,291.7027,301.4687,313.356 ,327.7406,345.0307,365.7126,390.4478,310.3206958323699 ,427.959827749553  ,4705.6052,310.5519000000004 ,662.8800000000001 ,-48.6704
8,0.8,300.2755,291.4359,284.0325,278.2413,274.151 ,271.7581,270.9841,271.7075,273.8001,277.1583,281.7247,287.5   ,294.5454,302.9824,312.992 ,324.8198,338.7908,355.3409,375.0723,398.8495,200.71698464842916,434.3271650941376 ,5016.1571,185.1208999999999 ,352.3280999999997 ,-32.441899999999976
9,0.9,215.5145,228.9069,240.6222,250.5492,258.7562,265.4731,271.0475,275.8898,280.4223,285.0416,290.099 ,295.8981,302.7055,310.7704,320.3496,331.7365,345.2955,361.5085,381.0404,404.8427,433.33243826395267,239.84521510668174,5201.278 ,167.20719999999983,167.20719999999983,-40.57690000000002
0,0.0,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,222.2841277495068 ,460.3856044919155 ,0.0      ,410.6768          ,4966.2384         ,-20.0
1,0.1,232.1427,240.9843,248.6557,255.0837,260.2887,264.3834,267.5618,270.0845,272.2695,274.4902,277.1814,280.8467,286.0595,293.4506,303.6784,317.3886,335.1817,357.6178,385.298 ,419.0657,262.88931729633345,175.83966050908262,410.6768 ,319.3852          ,4555.5616         ,-29.666600000000017
2,0.2,263.2144,263.5406,264.0454,264.8606,266.0644,267.6811,269.6861,272.0085,274.5267,277.0521,279.3065,280.8961,281.2984,279.8718,275.9015,268.6869,257.6632,242.5395,223.4189,200.8596,354.34696255575136,229.66081932613267,730.062  ,474.4344          ,4236.1764         ,-27.518899999999974
3,0.3,336.9302,321.9873,309.4398,299.2202,291.1998,285.1556,280.7728,277.671 ,275.442 ,273.6878,272.0531,270.2463,268.052 ,265.3317,262.0169,258.0923,253.5732,248.481 ,242.8201,236.5655,201.41483649000963,176.96205029878888,1204.4964,571.5732          ,3761.742          ,-11.294399999999996
4,0.4,217.9188,232.7405,245.3635,255.4888,263.0568,268.2166,271.2616,272.5496,272.4278,271.1747,268.9651,265.8571,261.7993,256.6519,250.2205,242.2959,232.6985,221.3189,208.1489,193.2937,382.5049111741496 ,203.414435886689  ,1776.0696,741.5435          ,3190.1688000000004,-29.583399999999983
5,0.5,357.6849,336.5165,318.7791,304.3138,292.8878,284.1382,277.5799,272.6558,268.8014,265.5037,262.3399,258.9937,255.2531,250.9935,246.1544,240.7127,234.6567,227.964 ,220.5855,212.4393,189.85923160459936,366.2679022120324 ,2517.6131,641.3377999999998 ,2448.6253         ,-15.111800000000017
6,0.6,208.7456,225.6774,239.9968,251.3255,259.5962,265.0209,268.0205,269.1414,268.984 ,268.1563,267.2549,266.8658,267.5715,269.9496,274.5511,281.8587,292.234 ,305.876 ,322.8164,342.9722,319.0164357909126 ,194.78190906512268,3158.9509,512.1688000000004 ,1807.2875000000004,-35.77910000000003
7,0.7,307.3041,297.0433,288.425 ,281.5608,276.4397,272.9244,270.7758,269.6931,269.3503,269.4168,269.5582,269.4225,268.6223,266.7277,263.2808,257.839 ,250.0416,239.6873,226.8006,211.6614,418.86546594694653,259.90221163592304,3671.1197,529.9614999999994 ,1295.1187         ,-29.525599999999997
8,0.8,388.1565,362.5701,341.2571,323.6836,309.4391,298.129 ,289.3326,282.6028,277.4911,273.581 ,270.5185,268.0332,265.9471,264.1704,262.6839,261.5108,260.6814,260.1967,260.0004,259.9658,381.3844874069439 ,277.028345722018  ,4201.0812,431.85400000000027,765.1572000000006 ,-6.0709999999999695
9,0.9,362.9883,347.6688,334.7073,323.5929,313.9691,305.5947,298.3101,292.01  ,286.6208,282.0859,278.3576,275.3947,273.1614,271.6281,270.7681,270.5528,270.9427,271.8802,273.2827,275.0418,318.6797912761738 ,289.9834316269067 ,4632.9352,333.3032000000003 ,333.3032000000003 ,-0.45530000000002246
0,0.0,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,273.0   ,288.37197549908205,376.69770453965725,0.0      ,399.5324          ,3273.8310000000006,-20.0
1,0.1,285.298 ,282.5995,280.2949,278.3932,276.8903,275.771 ,275.0184,274.6265,274.6164,275.0522,276.0559,277.8159,280.5878,284.6838,290.4492,298.2295,308.3363,321.025 ,336.4996,354.9597,226.47703877121927,307.66432096661276,399.5324 ,293.10909999999996,2874.2986000000005,-18.278999999999996
2,0.2,236.2106,244.959 ,252.5588,258.9381,264.1298,268.2638,271.542 ,274.2044,276.4938,278.6257,280.7653,283.0157,285.4158,287.949 ,290.5622,293.1935,295.8049,298.4146,301.1213,304.1138,347.43648167472304,177.92066401166124,692.6415 ,364.8008          ,2581.1895000000004,-26.936199999999985
3,0.3,330.9844,316.8495,305.0725,295.669 ,288.5598,283.5443,280.3102,278.4634,277.5625,277.1449,276.7384,275.8601,274.0129,270.6876,265.3836,257.65  ,247.1472,233.7154,217.433 ,198.6416,313.70379291211435,279.9939226244354 ,1057.4423,460.9153000000001 ,2216.3887000000004,-12.905699999999968
4,0.4,307.7624,302.6597,298.2003,294.235 ,290.6554,287.3857,284.3705,281.5663,278.9375,276.4599,274.1321,271.9892,270.1149,268.6434,267.7461,267.6027,268.3587,270.0809,272.7235,276.1182,330.36044283615   ,247.17286424204008,1518.3576,414.7494999999999 ,1755.4734         ,-10.414300000000026
