,,xi_0,xi_1,ui_0,xf_0,xf_1,uf_0
133,1,2.099422959,-0.171831516,0.018704533,-0.439487148,0.059602977,-0.011503396
134,2,-0.439487148,0.059602977,-0.011503396,0.0917396,-0.017392629,0.003990425
135,3,0.0917396,-0.017392629,0.003990425,-0.019114085,0.004665007,-0.001162384
136,4,-0.019114085,0.004665007,-0.001162384,0.004063335,-0.001216645,0.000298529
137,5,0.004063335,-0.001216645,0.000298529,-8,-7,-4
138,0,-8,-7,-4,1.761342288,1.37634774,-0.472515679
139,1,1.761342288,1.37634774,-0.472515679,-0.38580216,-0.266212241,0.092176947
140,2,-0.38580216,-0.266212241,0.092176947,0.08411321,0.050979864,-0.017827451
141,3,0.08411321,0.050979864,-0.017827451,-0.018278093,-0.009656276,0.003407662
142,4,-0.018278093,-0.009656276,0.003407662,0.00404823,0.001844915,-0.000617936
143,5,0.00404823,0.001844915,-0.000617936,1,-4,0.5
144,0,1,-4,0.5,-0.166294556,0.824901411,-0.261972494
145,1,-0.166294556,0.824901411,-0.261972494,0.02569414,-0.173443621,0.055243024
146,2,0.02569414,-0.173443621,0.055243024,-0.003453322,0.036364441,-0.011614476
147,3,-0.003453322,0.036364441,-0.011614476,0.000317742,-0.007610025,0.002430615
148,4,0.000317742,-0.007610025,0.002430615,1.92E-05,0.001625375,-0.00048699
149,5,1.92E-05,0.001625375,-0.00048699,6,-3,3
150,0,6,-3,3,-1.229353211,0.663822537,-0.191787368
151,1,-1.229353211,0.663822537,-0.191787368,0.251019835,-0.152029877,0.044453555
152,2,0.251019835,-0.152029877,0.044453555,-0.051072453,0.034472618,-0.010180087
153,3,-0.051072453,0.034472618,-0.010180087,0.010362117,-0.007758089,0.002304087
154,4,0.010362117,-0.007758089,0.002304087,-0.00214258,0.001773873,-0.000496465
155,5,-0.00214258,0.001773873,-0.000496465,-2,-5,-1
156,0,-2,-5,-1,0.476251059,1.008716894,-0.332153529
157,1,0.476251059,1.008716894,-0.332153529,-0.111471294,-0.204366503,0.067554334
158,2,-0.111471294,-0.204366503,0.067554334,0.025735522,0.041236251,-0.013685468
159,3,0.025735522,0.041236251,-0.013685468,-0.00588087,-0.008292109,0.002756298
160,4,-0.00588087,-0.008292109,0.002756298,0.001362222,0.001698555,-0.000530638
161,5,0.001362222,0.001698555,-0.000530638,7,2,3.198782242
162,0,7,2,3.198782242,-1.500129248,-0.502842921,0.133048735
163,1,-1.500129248,-0.502842921,0.133048735,0.32005772,0.062778002,-0.031723535
164,2,0.32005772,0.062778002,-0.031723535,-0.068148157,-0.014158228,0.0036591
165,3,-0.068148157,-0.014158228,0.0036591,0.014439216,3.07E-05,-0.001278326
166,4,0.014439216,3.07E-05,-0.001278326,-0.003142131,-0.001166939,-0.000266298
167,5,-0.003142131,-0.001166939,-0.000266298,-10,-10,-5
168,0,-10,-10,-5,2.219154948,1.500000005,-1.019606782
169,1,2.219154948,1.500000005,-1.019606782,-0.483450079,-0.286723256,0.100458788
