,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
65,65,65.0,65.0,65.0,,,,,,,,,,,,,0.5,-0.2810851728,-0.4416801059,-0.8798147698923786,0.1900579978,0.0310792257,0.1563455001,0.0583198940999999
66,66,66.0,66.0,66.0,,,,,,,,,,,,,0.6,-0.3273725283,-0.4833742275,-0.1999300878944436,0.2211372235,0.0344285693999999,0.1252662744,0.0583198940999999
67,67,67.0,67.0,67.0,,,,,,,,,,,,,0.7,-0.3743388516,-0.4564009129,1.153674903788864,0.2555657929,0.0307664556,0.090837705,0.0583198940999999
68,68,68.0,68.0,68.0,,,,,,,,,,,,,0.8,-0.4121903511,-0.303181923,-0.6229940526838564,0.2863322485,0.0286718819,0.0600712494,0.0583198940999999
69,69,69.0,69.0,69.0,,,,,,,,,,,,,0.9,-0.4440553158,-0.3336163636,-0.0390554269415728,0.3150041304,0.0313993675,0.0313993675,0.0583198940999999
70,70,70.0,70.0,70.0,,,,,,,,,,,,,0.0,0.0,-1.0,4.506776436047114,0.0,0.0664763012,0.3468599729,0.1234158843
71,71,71.0,71.0,71.0,,,,,,,,,,,,,0.1,-0.0733614247,-0.4759609317,-1.3098872854567698,0.0664763012,0.0285599085999999,0.2803836717,0.1234158843
72,72,72.0,72.0,72.0,,,,,,,,,,,,,0.2,-0.1249915483,-0.5553195367,-0.1418001194674889,0.0950362098,0.0310164168,0.2518237631,0.1234158843
73,73,73.0,73.0,73.0,,,,,,,,,,,,,0.3,-0.1785232162,-0.5159678806,-1.3119045393395306,0.1260526266,0.0359055563,0.2208073462999999,0.1234158843
74,74,74.0,74.0,74.0,,,,,,,,,,,,,0.4,-0.2339702962,-0.5917112546,1.6689155694922015,0.1619581829,0.0318184511,0.1849017899999999,0.1234158843
75,75,75.0,75.0,75.0,,,,,,,,,,,,,0.5,-0.2822058782,-0.3765841157,-2.064532181393307,0.193776634,0.0325898275,0.1530833388999999,0.1234158843
76,76,76.0,76.0,76.0,,,,,,,,,,,,,0.6,-0.3280296185,-0.5372135935,1.823570557907052,0.2263664615,0.0323165095999999,0.1204935113999999,0.1234158843
77,77,77.0,77.0,77.0,,,,,,,,,,,,,0.7,-0.3703309738,-0.3125551824,-0.6961346154690515,0.2586829711,0.0261709202,0.0881770017999999,0.1234158843
78,78,78.0,78.0,78.0,,,,,,,,,,,,,0.8,-0.4034417864,-0.3490578314,0.0992846644608684,0.2848538913,0.0284003559,0.0620060815999999,0.1234158843
79,79,79.0,79.0,79.0,,,,,,,,,,,,,0.9,-0.4361789769,-0.3063921744,-1.2154497196490162,0.3132542472,0.0336057256999999,0.0336057256999999,0.1234158843
80,80,80.0,80.0,80.0,,,,,,,,,,,,,0.0,0.0,-1.0,5.043404495983346,0.0,0.0657548814,0.3627752999,0.1327227865999999
81,81,81.0,81.0,81.0,,,,,,,,,,,,,0.1,-0.0707655263,-0.4248940241,-2.603443783753197,0.0657548814,0.0328032269999999,0.2970204185,0.1327227865999999
82,82,82.0,82.0,82.0,,,,,,,,,,,,,0.2,-0.1237934875,-0.6322104413,0.7263483503173869,0.0985581084,0.0348678261,0.2642171915,0.1327227865999999
83,83,83.0,83.0,83.0,,,,,,,,,,,,,0.3,-0.1804426105,-0.5029264833,-0.8393114051184081,0.1334259345,0.0315896500999999,0.2293493654,0.1327227865999999
84,84,84.0,84.0,84.0,,,,,,,,,,,,,0.4,-0.2323622306,-0.5349380037,1.2268965564399004,0.1650155846,0.0277941535,0.1977597153,0.1327227865999999
85,85,85.0,85.0,85.0,,,,,,,,,,,,,0.5,-0.2773333652,-0.3672772134,-2.2419123404047454,0.1928097381,0.032693325,0.1699655618,0.1327227865999999
86,86,86.0,86.0,86.0,,,,,,,,,,,,,0.6,-0.3231294944,-0.5456723183,1.5814477811097762,0.2255030631,0.0332513815,0.1372722368,0.1327227865999999
87,87,87.0,87.0,87.0,,,,,,,,,,,,,0.7,-0.3674070311,-0.3432500035,-1.7886807427970604,0.2587544446,0.0338131894,0.1040208552999999,0.1327227865999999
88,88,88.0,88.0,88.0,,,,,,,,,,,,,0.8,-0.4087242031,-0.4808009057,1.430739298729874,0.292567634,0.0348519192999999,0.0702076659,0.1327227865999999
89,89,89.0,89.0,89.0,,,,,,,,,,,,,0.9,-0.4475573573,-0.2988938216,-1.4609878844684805,0.3274195533,0.0353557466,0.0353557466,0.1327227865999999
90,90,90.0,90.0,90.0,,,,,,,,,,,,,0.0,0.0,-1.0,5.191607429497025,0.0,0.0656377318,0.3636304191999999,-2.5
91,91,91.0,91.0,91.0,,,,,,,,,,,,,0.1,-0.0700486046,-0.4107906525,-1.5622012728350765,0.0656377318,0.02395493,0.2979926873999999,-1.1907906525000005
92,92,92.0,92.0,92.0,,,,,,,,,,,,,0.2,-0.1166973383,-0.520362046,-0.947868554072422,0.0895926618,0.0318168632,0.2740377573999999,-0.740362046
93,93,93.0,93.0,93.0,,,,,,,,,,,,,0.3,-0.1708015256,-0.5610447141,-0.1839079439615838,0.121409525,0.0334458999999999,0.2422208941999999,-0.3810447141
94,94,94.0,94.0,94.0,,,,,,,,,,,,,0.4,-0.2250817754,-0.5251552587,-0.6977468385084207,0.154855425,0.0350640481,0.2087749942,-0.1051552586999999
95,95,95.0,95.0,95.0,,,,,,,,,,,,,0.5,-0.2784319945,-0.5415797235,-0.1687779915676994,0.1899194731,0.0367542530999999,0.1737109460999999,-0.0415797235
