,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,u,L,inst_cost,ctg,path_diff
888,888,888.0,888.0,888.0,888.0,888.0,888.0,888.0,888.0,8.0,,,,,,0.8,-0.6215534389,-1.0544182066,-1.1192869324370167,0.667539156,0.1580414235999999,0.3603939408,-1.2744182066000005
889,889,889.0,889.0,889.0,889.0,889.0,889.0,889.0,889.0,9.0,,,,,,0.9,-0.7273090565,-1.0605912823,-3.1885454250050964,0.8255805796,0.2023525172,0.2023525172,-1.8405912823000004
890,890,890.0,890.0,890.0,890.0,890.0,890.0,890.0,890.0,0.0,,,,,,0.0,0.0,-1.0,2.080606673600214,0.0,0.0755596329,0.9697429749999998,-2.5
891,891,891.0,891.0,891.0,891.0,891.0,891.0,891.0,891.0,1.0,,,,,,0.1,-0.085097815,-0.7068415177,-1.0677661154142482,0.0755596329,0.0545497450999999,0.8941833420999998,-1.4868415177000005
892,892,892.0,892.0,892.0,892.0,892.0,892.0,892.0,892.0,2.0,,,,,,0.2,-0.1575278558,-0.7411880884,-0.2454833734565134,0.130109378,0.0552858606999999,0.8396335969999998,-0.9611880884
893,893,893.0,893.0,893.0,893.0,893.0,893.0,893.0,893.0,3.0,,,,,,0.3,-0.2292488098,-0.6940154717,-2.3727678469265303,0.1853952387,0.0702866764,0.7843477362999999,-0.5140154717000001
894,894,894.0,894.0,894.0,894.0,894.0,894.0,894.0,894.0,4.0,,,,,,0.4,-0.3067712029,-0.8537698633,0.0619961206381258,0.2556819151,0.077752188,0.7140610598999999,-0.4337698633
895,895,895.0,895.0,895.0,895.0,895.0,895.0,895.0,895.0,5.0,,,,,,0.5,-0.3877182349,-0.7666232193,1.992638456849684,0.3334341031,0.0604529011,0.6363088719,-0.2666232193
896,896,896.0,896.0,896.0,896.0,896.0,896.0,896.0,896.0,6.0,,,,,,0.6,-0.4510329457,-0.5040446628,-5.729067207751228,0.3938870042,0.0992917172,0.5758559708,-0.0840446628
897,897,897.0,897.0,897.0,897.0,897.0,897.0,897.0,897.0,7.0,,,,,,0.7,-0.5267129082,-1.0012714211,-0.9541130004209442,0.4931787214,0.133597161,0.4765642535999999,-0.8212714210999998
898,898,898.0,898.0,898.0,898.0,898.0,898.0,898.0,898.0,8.0,,,,,,0.8,-0.6266119719,-0.9967836574,-1.571481857334446,0.6267758824,0.1522098812,0.3429670925999999,-1.2167836574000002
899,899,899.0,899.0,899.0,899.0,899.0,899.0,899.0,899.0,9.0,,,,,,0.9,-0.729070391,-1.051473424,-2.508438492365637,0.7789857636,0.1907572113999999,0.1907572113999999,-1.8314734240000003
900,900,900.0,900.0,900.0,900.0,900.0,900.0,900.0,0.0,,,,,,,0.0,0.0,-1.0,5.734546819841889,0.0,0.0655128759,0.3159193059,0.2208030935
901,901,901.0,901.0,901.0,901.0,901.0,901.0,901.0,1.0,,,,,,,0.1,-0.0674221797,-0.3591231383,-1.3368293988200677,0.0655128759,0.0182538082999999,0.25040643,0.2208030935
902,902,902.0,902.0,902.0,902.0,902.0,902.0,902.0,2.0,,,,,,,0.2,-0.1080638633,-0.4521643946,2.336879506864918,0.0837666842,0.0149814276,0.2321526217,0.2208030935
903,903,903.0,903.0,903.0,903.0,903.0,903.0,903.0,3.0,,,,,,,0.3,-0.1397885378,-0.1867517694,-0.3175280325557037,0.0987481118,0.006013034,0.2171711941,0.2208030935
904,904,904.0,904.0,904.0,904.0,904.0,904.0,904.0,4.0,,,,,,,0.4,-0.159096204,-0.1991969065,-2.729699155779968,0.1047611458,0.0175597645,0.2111581601,0.2208030935
905,905,905.0,905.0,905.0,905.0,905.0,905.0,905.0,5.0,,,,,,,0.5,-0.1912569414,-0.4400060847,0.3933108131833083,0.1223209103,0.0206088977999999,0.1935983956,0.2208030935
906,906,906.0,906.0,906.0,906.0,906.0,906.0,906.0,6.0,,,,,,,0.6,-0.2312264705,-0.3607054742,0.3021861816426341,0.1429298081,0.0170477601,0.1729894978,0.2208030935
907,907,907.0,907.0,907.0,907.0,907.0,907.0,907.0,7.0,,,,,,,0.7,-0.2640903974,-0.2976229292,-2.818477083182183,0.1599775682,0.0300834972,0.1559417377,0.2208030935
908,908,908.0,908.0,908.0,908.0,908.0,908.0,908.0,8.0,,,,,,,0.8,-0.3060469718,-0.5375140631,-2.6352341269673527,0.1900610654,0.0559810375,0.1258582405,0.2208030935
909,909,909.0,909.0,909.0,909.0,909.0,909.0,909.0,9.0,,,,,,,0.9,-0.3699459254,-0.7371385222,-0.5685268627199855,0.2460421029,0.069877203,0.069877203,0.2208030935
910,910,910.0,910.0,910.0,910.0,910.0,910.0,910.0,0.0,,,,,,,0.0,0.0,-1.0,7.611268594479419,0.0,0.0687594812,0.3054390436,0.0670849026
911,911,911.0,911.0,911.0,911.0,911.0,911.0,911.0,1.0,,,,,,,0.1,-0.0583436938,-0.1805294468,-2.022163804210926,0.0687594812,0.0100712216999999,0.2366795624,0.0670849026
912,912,912.0,912.0,912.0,912.0,912.0,912.0,912.0,2.0,,,,,,,0.2,-0.0853053491,-0.3557841719,-0.3056084622476569,0.0788307029,0.0136046868,0.2266083407,0.0670849026
913,913,913.0,913.0,913.0,913.0,913.0,913.0,913.0,3.0,,,,,,,0.3,-0.1206410638,-0.3510093034,-0.7378604717761537,0.0924353897,0.0158915498,0.2130036539,0.0670849026
914,914,914.0,914.0,914.0,914.0,914.0,914.0,914.0,4.0,,,,,,,0.4,-0.1576133596,-0.3878230548,-0.9392424468502748,0.1083269395,0.0208240851,0.1971121041,0.0670849026
915,915,915.0,915.0,915.0,915.0,915.0,915.0,915.0,5.0,,,,,,,0.5,-0.1990631128,-0.4402975463,0.4779459603135336,0.1291510246,0.0206845827,0.176288019,0.0670849026
916,916,916.0,916.0,916.0,916.0,916.0,916.0,916.0,6.0,,,,,,,0.6,-0.2386509656,-0.3529150974,-2.3101597422391698,0.1498356073,0.0297411626999999,0.1556034363,0.0670849026
917,917,917.0,917.0,917.0,917.0,917.0,917.0,917.0,7.0,,,,,,,0.7,-0.2834104974,-0.5391715399,0.8154608727630328,0.17957677,0.0324199270999999,0.1258622736,0.0670849026
918,918,918.0,918.0,918.0,918.0,918.0,918.0,918.0,8.0,,,,,,,0.8,-0.3307747579,-0.4102611921,-2.242637786870811,0.2119966971,0.0402293708,0.0934423465,0.0670849026
919,919,919.0,919.0,919.0,919.0,919.0,919.0,919.0,9.0,,,,,,,0.9,-0.3806648683,-0.5846348603,-0.8912675089331081,0.2522260679,0.0532129757,0.0532129757,0.0670849026
920,920,920.0,920.0,920.0,920.0,920.0,920.0,920.0,0.0,,,,,,,0.0,0.0,-1.0,5.346019910567816,0.0,0.0655536515,0.4421072028999999,0.0341926876
921,921,921.0,921.0,921.0,921.0,921.0,921.0,921.0,1.0,,,,,,,0.1,-0.0693016469,-0.396096362,0.519179029257999,0.0655536515,0.0133537177999999,0.3765535513999999,0.0341926876
